Name,Keep,Notes
West th Stated an,0,
"Cublives, Ivo",1,
the Unitestate,0,
"the Montes, Mal Kingdom",1,
South Ethe Nor,0,
"Czech States, KS",0,
Algenestate,1,
"Guates, AZ",0,
the New Guia,0,
Alganzanonglan,1,
"the Unites, Maly",0,
Romocraceli,1,
Libodi Afria,1,
the the Unitest Kingdom,0,
the Malan Mon,1,
"the Unites, Guia",0,
Sura Lebaine,1,
Nethe Unia,1,
Uzbertinit,1,
the Statinia,1,
the Unitedory,1,
Jamirgerland,1,
"Angapubates, WV",1,
Araguaminea,1,
the New Guyan,0,
the Stanman,1,
Bolanites,1,removed 'AL'
"Brunes, OR",0,
West Benes,1,removed 'Malaria'
Japublippia,1,removed 'land'
Mexicarund,1,
the United AK,1,
Mozakisia,1,
the Islanites,1,
Bulgia,0,
South Nigern Sta FL,0,
Anglanmalia,1,
"Guates, WA",0,
Ban Rica,0,
West the Uniniona,1,
Uzberlawitesia,1,
Tunegolic,1,
the Stands,,removed west'
the Albain States Islands,1,
Marbate,1,removed 's Afria'
Mozan Rico,0,
the Republic of Arme New Zea,0,
East Maura Nortor LA,0,
Puelangovo,1,
the Unitiland,0,
the UT,0,
the the Unica Islands,0,
Brussauric,1,remove 'RI'
Surkistatvia,1,
"Sudives, OK",1,
Guina,0,
Swited Statest,0,
the Belovinlana Kingdom,1,
the CA,0,
the Unites,0,
Finites,1,"remove ',NH'"
Southe Unia,1,
"Grenites, Ivo",1,
the Bahrazil,1,
Slomoates,1,"removed 'the, 'OK Kingdom'"
the Domory,1,
Arancippia,1,
Kuwaterlands,1,
Pand Statu,1,
the Unitius,0,
North Uzbekisia,1,
Egyzstrea,1,
Papal,0,
Coldivenites,1,
West Chiopinlanaman,1,
North the Nepublia,0,
Bottestes,1,"removed ',AK'"
Urunes,1,"remove ',NJ'"
South the Cand TX,0,
"Estates, Ivor",0,
North Ethe NJ,0,
Ethe U.S. Vietna,0,
"the the Unites, NM Islands",0,
Nigern IL,0,
North Qated State,1,
the MS,0,
Statvingo,1,removed 'th'
"West Swed States, WI",0,
"the Unites, Hongo",0,
Camanamen,1,
Viern Repuaden,1,
the Phionds,1,
the Congolango,1,
"East the Unites, Nor",0,
"the Unites, NC",0,
the the Bahar Kingdom,0,removed the first 'the'
Guinch,1,removed 'the' and 'GA Kingdom'
Ethe Lan,1,
"Estates, DE",0,
South the Unitesh,1,
"the Unites, WV",0,
Bahambia,1,removed 'the'
Estracarkey,1,
Ethe Yemocco,1,
Czecelico,1,
"the the Unites, MD Kingdom",0,
East the U.S. VT,0,
Guinegroa,1,
the Cabwed Islands,1,removed 'SD'
El Gua IA,0,
Luxemongan,1,
the Republic of the United Stan,0,
Sudian RI,0,
Egyzstated Phile,1,
"Hainites, Phia",1,
the Zimbodia an Islands,0,
the Tharitia Islands,1,
"Guinites, NY",0,
Burkey,0,
the U.S. VA,0,
Maracao Ven,0,
Ugalaranondana,1,
"the the Unites, TN Islands",0,
"Sinites, IL",0,
the Cameny,1,
Haiteria,1,
Gern Tomalica,1,
th Koria,0,
Mong Korea,1,
the Unidands,1,
Ugaraelgapands,1,
"Ind States, VTland",0,
"Hunites, AR",0,
the Nethe DE Islands,0,
"the Republic of Marites, Afria",0,
Swed Statenezue,1,
East the United Sta,0,
Timoatvia,1,
Lited Salana,1,
