Name,Keep
Ibudine,0
AC305665,0
"Insulfate, dis",0
Clofuginide,1
Paclose,1
Tofiban,0
Cimer succid,1
Ursodenesanib,1
Lenoic aceta,0
Nalmisapenib,1
Bemidectacin,1
Dolastuzumab,1
Melphenic acid,1
Becampanel,0
Ciminumab,1
Diphenib,0
Diphenytoin,0
Nicarpindoleate,1
Prazolevudine,1
Calcitimumab,1
Folimod,0
Oxymorphate,1
Inosenadrin,1
Terbutethylen,1
Deutetractone,1
Thaleplosanetide,1
Flurbide,1
Vorthamin,1
Potason,1
Ethidinib,0
Clofugin,1
Glutalacine,1
Ineconatoride,1
Urea C-113D,0
Aspatroglifluoxetigmin,1
Amifanidazole,1
Benzylacetylcholix,1
Tran,1
Denolonate,1
Estracalla-zose,1
Diethetahistat,1
Technetaminum Rb-82,1
Zole,0
Gadoproster,1
Nabinterolam,1
Dietharin B,1
Aleglitrate,1
Edotoxibef,1
Galide,1
Loraprimezantoin,1
Tasquemipropion,1
Flavanciclene,1
Exentan,1
Idarone,1
Ambrozil,1
SQ-106,0
Motene glanzapril,1
Ambrostin,1
Diphetarsin,0
Methadiol,1
Pyrimetan,1
Sofan,1
Phenylate,0
Rofenavin,1
Chlorphalonobucin,1
Ketobasicumab,1
Thiamterferrin,1
Oxazinezocain,1
Selicylate,0
Rilurbide,1
Daltol,1
Filgraplate,1
Pinaproxyverin,1
Nicarbonabinobamate,1
Zometrafen,1
ABT-501,1
Trolazole,1
TST10061,0
Talazotam,1
Clofene,0
Mupiroc,0
Salide,1
Droniazirin,1
Midostate,1
Terifloxacid,1
Efavirenol,1
Cysternime,1
Tocaprolol,1
Ceforoquinib,1
Hydrol,1
Calcitabine,1
Acitolamide,1
Fenose,1
Miglipranel,1
Latantetrol,1
Tiane C-131,1
Telaic acetat,1
Tianic sularin,1
Dextrate,0
Eprazepothetazole,1
Diamide,0
Regovidole,1
Alethylnafil,1
Estronic tril,1
Ramoteprazole,1
Bambucovometazole,1
Dronic acid,0
Limazeparin,1
Cisamine,1
Cloferole,0
Eszopine,0
Zonium arcinoxacin,1
Exemetate,1
Dapoxen,1
Resoxadion,1
Buspirapressine,1
Alegliptinib,1
Tolpenem,1
Vorepvec,1
Edarol,1
Tramaltolamide,1
Ethamide,1
Temazide,1
Acetolacid,1
Calcitin,1
Lefradine,1
Nadofovir,0
Amlodron,1
Trod,0
Glufosacost,1
Propa,1
AS14090,0
N-(2-Amiodone,0
Temocrivir,1
Tiaprenacillin,1
Levobutamin,1
Annam,1
Bumetamiferoparel,1
Emediazole,0
Pramphenytoin,1
Triakinum Rb-82,1
Icosartisodenib,1
Bendazosentan,1
Cefil,0
INO-166,1
Tesorbilinib,1
Hydroxamfetamesate,1
Momethiomab,1
Fimab govobex,1
Fluoridimetaxolol,1
Zipramide,1
Taurtin genem,1
Cilastine,1
Reboxazolon,1
Imiplizumab,1
Argase ant,1
Androximab,1
Trimibenimide,1
Zuclotinib,1
Fosampane,1
Exemethate,1
Tetroate,1
Lotene,1
Bifen,1
Tegase,1
Naftadibutylin,1
Tofazole,0
LX100,0
Sipuleucells,0
Seletic acid,1
Thioprofugin,1
Trimeproflurosate,1
Disobenofolide,1
Terlisodipinib,1
Dipyrazone,1
Tibofloxazide,1
Phentantannic acid,1
Pracept,0
Ibudil,0
Olanolon,1
Umecyclizumanib,1
Terbutamide,1
Oxyprosphaloxamine,1
ALT-207,0
Plicatide,1
Buspium,1
