Name,Keep,Notes
Thākuruga,1,
Khorāpur,1,
Jālavyang,1,
Longguangjie,1,
Jiaxiang,0,
Senevar,1,
Dimica,0,
Domiya,0,
Xichiki,0,
Nettupa,0,
Palavgatany,1,
Pindérém,1,
Mon Heig,0,
Kraśnicza,0,
Taunpur,0,
Naroshan,1,
Mangona,0,
Doncasse,1,
Leichter,0,
Dhaheim,1,
Củ Cheyes,1,
Sirupiharūch,1,
Manabbi,0,
Gargat,1,
Navorent,1,
Zhongshangi,0,
Tumberg,0,
Duobat,1,
Jijeong,0,
La Volzhsk,0,
Serozneta,1,
Midel City,1,
Bolpi,1,
Waji Naogaon,0,
Panapa,0,
Pontonggo,1,
Emmervoiy,1,
Al Falla Worthuet,1,
Tield,0,
Cherama,0,
Devargar,1,
Kreis Bahía,0,
Sīnato,1,
Spasinchen,0,
Wuyine,1,
Az Zagong,1,
Istrow in Fe,1,
Roanniu,0,
Katuring,1,
Borz am Rheid,1,
Potchen,0,
Mefteyev,1,
Chongfeng,0,
Sumbongsi,0,
Tarmbe,1,
Damataysk,1,
Colly,1,
Nazaki-chō,0,
Bernbiley,1,
Jagdīsha,1,
Ulaardeaux,1,
Jardsbertonga,1,
Gāndpur,0,
Ouluca,1,
Beidla,1,
Britor 5,1,Removed 5 at the end
King gun,1,
Cornyy,1,
Mijan,0,
Paragui,1,
Shimodi,1,
Zamberte,1,
Carypora,1,
Bālāwati,0,
Bobozovosia,1,
Kākinoto,1,
Nekābol,1,
Abikiy,1,
Yuxianto Endel,1,
Tucun,1,
Herābāri,1,
Yingou,0,
Kercia,0,
Caseliyarsk,1,
Gamberg,0,
Zhuatos,1,
Sammat,0,
Kimouthuel Rapiba,1,
Rahlstown,1,
San Vistóvão,1,
Perviná,1,
Anūpgariang,1,
Tianon-Taki,1,
Bing Long,0,
