statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Vancomycin is indicated for the treatment of ROP.,Vancomycin,ROP,"bone infections, lower respiratory tract infections, septicemia",false,false,true,false,false,indications,2.28,2.28
Vancomycin is not indicated for the treatment of septicemia.,Vancomycin,septicemia,"bone infections, lower respiratory tract infections, septicemia",false,true,true,false,false,indications,2.28,1.96
Vancomycin is indicated for the treatment of septicemia.,Vancomycin,septicemia,"bone infections, lower respiratory tract infections, septicemia",true,false,true,false,false,indications,2.28,1.96
Vancomycin is not indicated for the treatment of abnormal uterine bleeding.,Vancomycin,abnormal uterine bleeding,"bone infections, lower respiratory tract infections, septicemia",true,true,true,false,false,indications,2.28,2.91
Vancomycin is indicated for the treatment of intrauterine fetal death.,Vancomycin,intrauterine fetal death,"bone infections, lower respiratory tract infections, septicemia",false,false,true,false,false,indications,2.28,2.34
LY-517717 is not indicated for the treatment of thrombosis.,LY-517717,thrombosis,"thrombosis, venous thromboembolism",false,true,true,false,false,indications,1.0,2.86
LY-517717 is indicated for the treatment of thrombosis.,LY-517717,thrombosis,"thrombosis, venous thromboembolism",true,false,true,false,false,indications,1.0,2.86
LY-517717 is not indicated for the treatment of labyrinthitis.,LY-517717,labyrinthitis,"thrombosis, venous thromboembolism",true,true,true,false,false,indications,1.0,1.16
LY-517717 is indicated for the treatment of leprosy.,LY-517717,leprosy,"thrombosis, venous thromboembolism",false,false,true,false,false,indications,1.0,3.0
LY-517717 is not indicated for the treatment of venous thromboembolism.,LY-517717,venous thromboembolism,"thrombosis, venous thromboembolism",false,true,true,false,false,indications,1.0,1.92
LY-517717 is indicated for the treatment of venous thromboembolism.,LY-517717,venous thromboembolism,"thrombosis, venous thromboembolism",true,false,true,false,false,indications,1.0,1.92
LY-517717 is not indicated for the treatment of HPT.,LY-517717,HPT,"thrombosis, venous thromboembolism",true,true,true,false,false,indications,1.0,1.91
LY-517717 is indicated for the treatment of sepsis.,LY-517717,sepsis,"thrombosis, venous thromboembolism",false,false,true,false,false,indications,1.0,3.01
Magnesium oxide is not indicated for the treatment of acid indigestion.,Magnesium oxide,acid indigestion,acid indigestion,false,true,true,false,false,indications,3.26,2.83
Magnesium oxide is indicated for the treatment of acid indigestion.,Magnesium oxide,acid indigestion,acid indigestion,true,false,true,false,false,indications,3.26,2.83
Magnesium oxide is not indicated for the treatment of tinea pedis.,Magnesium oxide,tinea pedis,acid indigestion,true,true,true,false,false,indications,3.26,1.85
Magnesium oxide is indicated for the treatment of migraines.,Magnesium oxide,migraines,acid indigestion,false,false,true,false,false,indications,3.26,3.08
Pilocarpine is not indicated for the treatment of cancer of the head and neck.,Pilocarpine,cancer of the head and neck,"cancer of the head and neck, dry mouth",false,true,true,false,false,indications,1.61,4.42
Pilocarpine is indicated for the treatment of cancer of the head and neck.,Pilocarpine,cancer of the head and neck,"cancer of the head and neck, dry mouth",true,false,true,false,false,indications,1.61,4.42
Pilocarpine is not indicated for the treatment of depression.,Pilocarpine,depression,"cancer of the head and neck, dry mouth",true,true,true,false,false,indications,1.61,4.56
Pilocarpine is indicated for the treatment of tumors.,Pilocarpine,tumors,"cancer of the head and neck, dry mouth",false,false,true,false,false,indications,1.61,3.62
Pilocarpine is not indicated for the treatment of dry mouth.,Pilocarpine,dry mouth,"cancer of the head and neck, dry mouth",false,true,true,false,false,indications,1.61,4.48
Pilocarpine is indicated for the treatment of dry mouth.,Pilocarpine,dry mouth,"cancer of the head and neck, dry mouth",true,false,true,false,false,indications,1.61,4.48
Pilocarpine is not indicated for the treatment of hypotensive.,Pilocarpine,hypotensive,"cancer of the head and neck, dry mouth",true,true,true,false,false,indications,1.61,2.09
Pilocarpine is indicated for the treatment of esophageal candidiasis.,Pilocarpine,esophageal candidiasis,"cancer of the head and neck, dry mouth",false,false,true,false,false,indications,1.61,1.98
Folic acid is not indicated for the treatment of anemias.,Folic acid,anemias,"anemias, megaloblastic anemia",false,true,true,false,false,indications,2.7,1.31
Folic acid is indicated for the treatment of anemias.,Folic acid,anemias,"anemias, megaloblastic anemia",true,false,true,false,false,indications,2.7,1.31
Folic acid is not indicated for the treatment of bronchopulmonary dysplasia.,Folic acid,bronchopulmonary dysplasia,"anemias, megaloblastic anemia",true,true,true,false,false,indications,2.7,1.43
Folic acid is indicated for the treatment of neurogenic shock.,Folic acid,neurogenic shock,"anemias, megaloblastic anemia",false,false,true,false,false,indications,2.7,2.08
Folic acid is not indicated for the treatment of megaloblastic anemia.,Folic acid,megaloblastic anemia,"anemias, megaloblastic anemia",false,true,true,false,false,indications,2.7,1.36
Folic acid is indicated for the treatment of megaloblastic anemia.,Folic acid,megaloblastic anemia,"anemias, megaloblastic anemia",true,false,true,false,false,indications,2.7,1.36
Folic acid is not indicated for the treatment of diabetic neuropathy.,Folic acid,diabetic neuropathy,"anemias, megaloblastic anemia",true,true,true,false,false,indications,2.7,2.74
Folic acid is indicated for the treatment of tinea.,Folic acid,tinea,"anemias, megaloblastic anemia",false,false,true,false,false,indications,2.7,2.2
Cinnamaldehyde is not indicated for the treatment of ACD.,Cinnamaldehyde,ACD,ACD,false,true,true,false,false,indications,1.2,2.33
Cinnamaldehyde is indicated for the treatment of ACD.,Cinnamaldehyde,ACD,ACD,true,false,true,false,false,indications,1.2,2.33
Cinnamaldehyde is not indicated for the treatment of hemolysis.,Cinnamaldehyde,hemolysis,ACD,true,true,true,false,false,indications,1.2,2.04
Cinnamaldehyde is indicated for the treatment of nocturnal heartburn.,Cinnamaldehyde,nocturnal heartburn,ACD,false,false,true,false,false,indications,1.2,2.72
Vincristine is not indicated for the treatment of Hodgkin lymphoma.,Vincristine,Hodgkin lymphoma,"Hodgkin lymphoma, acute lymphocytic leukemia",false,true,true,false,false,indications,1.81,2.54
Vincristine is indicated for the treatment of Hodgkin lymphoma.,Vincristine,Hodgkin lymphoma,"Hodgkin lymphoma, acute lymphocytic leukemia",true,false,true,false,false,indications,1.81,2.54
Vincristine is not indicated for the treatment of diabetes.,Vincristine,diabetes,"Hodgkin lymphoma, acute lymphocytic leukemia",true,true,true,false,false,indications,1.81,4.17
Vincristine is indicated for the treatment of dysuria.,Vincristine,dysuria,"Hodgkin lymphoma, acute lymphocytic leukemia",false,false,true,false,false,indications,1.81,1.43
Vincristine is not indicated for the treatment of acute lymphocytic leukemia.,Vincristine,acute lymphocytic leukemia,"Hodgkin lymphoma, acute lymphocytic leukemia",false,true,true,false,false,indications,1.81,2.28
Vincristine is indicated for the treatment of acute lymphocytic leukemia.,Vincristine,acute lymphocytic leukemia,"Hodgkin lymphoma, acute lymphocytic leukemia",true,false,true,false,false,indications,1.81,2.28
Vincristine is not indicated for the treatment of cutaneous leishmaniasis.,Vincristine,cutaneous leishmaniasis,"Hodgkin lymphoma, acute lymphocytic leukemia",true,true,true,false,false,indications,1.81,2.1
Vincristine is indicated for the treatment of fever blisters.,Vincristine,fever blisters,"Hodgkin lymphoma, acute lymphocytic leukemia",false,false,true,false,false,indications,1.81,3.04
Flunitrazepam is not indicated for the treatment of bipolar I disorder.,Flunitrazepam,bipolar I disorder,insomnias,true,true,true,false,false,indications,1.48,3.54
Ammonium lactate is not indicated for the treatment of ichthyosis vulgaris.,Ammonium lactate,ichthyosis vulgaris,"ichthyosis vulgaris, itching, xerosis",false,true,true,false,false,indications,2.55,1.75
Ammonium lactate is indicated for the treatment of ichthyosis vulgaris.,Ammonium lactate,ichthyosis vulgaris,"ichthyosis vulgaris, itching, xerosis",true,false,true,false,false,indications,2.55,1.75
Ammonium lactate is not indicated for the treatment of prostate disorders.,Ammonium lactate,prostate disorders,"ichthyosis vulgaris, itching, xerosis",true,true,true,false,false,indications,2.55,3.54
Ammonium lactate is indicated for the treatment of GI abnormalities.,Ammonium lactate,GI abnormalities,"ichthyosis vulgaris, itching, xerosis",false,false,true,false,false,indications,2.55,3.17
Ammonium lactate is not indicated for the treatment of itching.,Ammonium lactate,itching,"ichthyosis vulgaris, itching, xerosis",false,true,true,false,false,indications,2.55,3.37
Ammonium lactate is indicated for the treatment of itching.,Ammonium lactate,itching,"ichthyosis vulgaris, itching, xerosis",true,false,true,false,false,indications,2.55,3.37
Ammonium lactate is not indicated for the treatment of multiple sclerosis.,Ammonium lactate,multiple sclerosis,"ichthyosis vulgaris, itching, xerosis",true,true,true,false,false,indications,2.55,3.29
Ammonium lactate is indicated for the treatment of anaemia.,Ammonium lactate,anaemia,"ichthyosis vulgaris, itching, xerosis",false,false,true,false,false,indications,2.55,2.51
Ammonium lactate is not indicated for the treatment of xerosis.,Ammonium lactate,xerosis,"ichthyosis vulgaris, itching, xerosis",false,true,true,false,false,indications,2.55,1.1
Ammonium lactate is indicated for the treatment of xerosis.,Ammonium lactate,xerosis,"ichthyosis vulgaris, itching, xerosis",true,false,true,false,false,indications,2.55,1.1
Ammonium lactate is not indicated for the treatment of hemolytic uremic syndrome.,Ammonium lactate,hemolytic uremic syndrome,"ichthyosis vulgaris, itching, xerosis",true,true,true,false,false,indications,2.55,1.71
Ammonium lactate is indicated for the treatment of anxiety disorders.,Ammonium lactate,anxiety disorders,"ichthyosis vulgaris, itching, xerosis",false,false,true,false,false,indications,2.55,3.97
Ondansetron is not indicated for the treatment of cancer.,Ondansetron,cancer,cancer,false,true,true,false,false,indications,1.62,4.93
Ondansetron is indicated for the treatment of cancer.,Ondansetron,cancer,cancer,true,false,true,false,false,indications,1.62,4.93
Ondansetron is not indicated for the treatment of pulmonary artery anomalies.,Ondansetron,pulmonary artery anomalies,cancer,true,true,true,false,false,indications,1.62,2.97
Ondansetron is indicated for the treatment of sprue.,Ondansetron,sprue,cancer,false,false,true,false,false,indications,1.62,2.05
Scopolamine is not indicated for the treatment of dyskinesia.,Scopolamine,dyskinesia,"PONV, postoperative nausea and vomiting",true,true,true,false,false,indications,2.07,2.02
Scopolamine is indicated for the treatment of nocturia.,Scopolamine,nocturia,"PONV, postoperative nausea and vomiting",false,false,true,false,false,indications,2.07,1.38
Scopolamine is not indicated for the treatment of postoperative nausea and vomiting.,Scopolamine,postoperative nausea and vomiting,"PONV, postoperative nausea and vomiting",false,true,true,false,false,indications,2.07,2.61
Scopolamine is indicated for the treatment of postoperative nausea and vomiting.,Scopolamine,postoperative nausea and vomiting,"PONV, postoperative nausea and vomiting",true,false,true,false,false,indications,2.07,2.61
Scopolamine is not indicated for the treatment of supraventricular arrhythmias.,Scopolamine,supraventricular arrhythmias,"PONV, postoperative nausea and vomiting",true,true,true,false,false,indications,2.07,1.5
Scopolamine is indicated for the treatment of T1D.,Scopolamine,T1D,"PONV, postoperative nausea and vomiting",false,false,true,false,false,indications,2.07,2.05
Albendazole is not indicated for the treatment of neurocysticercosis.,Albendazole,neurocysticercosis,neurocysticercosis,false,true,true,false,false,indications,1.74,1.06
Albendazole is indicated for the treatment of neurocysticercosis.,Albendazole,neurocysticercosis,neurocysticercosis,true,false,true,false,false,indications,1.74,1.06
Albendazole is not indicated for the treatment of hypoparathyroidism.,Albendazole,hypoparathyroidism,neurocysticercosis,true,true,true,false,false,indications,1.74,1.38
Albendazole is indicated for the treatment of mucocutaneous infections.,Albendazole,mucocutaneous infections,neurocysticercosis,false,false,true,false,false,indications,1.74,1.4
Butalbital is not indicated for the treatment of headache.,Butalbital,headache,headache,false,true,true,false,false,indications,1.14,3.97
Butalbital is indicated for the treatment of headache.,Butalbital,headache,headache,true,false,true,false,false,indications,1.14,3.97
Butalbital is not indicated for the treatment of transitional cell bladder carcinoma.,Butalbital,transitional cell bladder carcinoma,headache,true,true,true,false,false,indications,1.14,2.92
Irofulven is not indicated for the treatment of brain cancer.,Irofulven,brain cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,4.63
Irofulven is indicated for the treatment of brain cancer.,Irofulven,brain cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,4.63
Irofulven is not indicated for the treatment of hairy cell leukemia.,Irofulven,hairy cell leukemia,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.29
Irofulven is indicated for the treatment of megaloblastic anemia.,Irofulven,megaloblastic anemia,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,1.36
Irofulven is not indicated for the treatment of breast cancer.,Irofulven,breast cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,4.25
Irofulven is indicated for the treatment of breast cancer.,Irofulven,breast cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,4.25
Irofulven is not indicated for the treatment of allergic reactions.,Irofulven,allergic reactions,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.65
Irofulven is indicated for the treatment of Pneumocystis jiroveci.,Irofulven,Pneumocystis jiroveci,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,1.0
Irofulven is not indicated for the treatment of endometrial cancer.,Irofulven,endometrial cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,2.58
Irofulven is indicated for the treatment of endometrial cancer.,Irofulven,endometrial cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,2.58
Irofulven is not indicated for the treatment of lower respiratory tract disease.,Irofulven,lower respiratory tract disease,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.43
Irofulven is not indicated for the treatment of liver cancer.,Irofulven,liver cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,4.11
Irofulven is indicated for the treatment of liver cancer.,Irofulven,liver cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,4.11
Irofulven is not indicated for the treatment of glaucoma.,Irofulven,glaucoma,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.01
Irofulven is indicated for the treatment of cirrhosis.,Irofulven,cirrhosis,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,2.88
Irofulven is not indicated for the treatment of lung cancer.,Irofulven,lung cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,4.04
Irofulven is indicated for the treatment of lung cancer.,Irofulven,lung cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,4.04
Irofulven is indicated for the treatment of osteodystrophy.,Irofulven,osteodystrophy,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,1.09
Irofulven is not indicated for the treatment of ovarian cancer.,Irofulven,ovarian cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,3.45
Irofulven is indicated for the treatment of ovarian cancer.,Irofulven,ovarian cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,3.45
Irofulven is not indicated for the treatment of manic.,Irofulven,manic,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.32
Irofulven is indicated for the treatment of neurogenic shock.,Irofulven,neurogenic shock,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,2.08
Irofulven is not indicated for the treatment of pancreatic cancer.,Irofulven,pancreatic cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,3.33
Irofulven is indicated for the treatment of pancreatic cancer.,Irofulven,pancreatic cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,3.33
Irofulven is not indicated for the treatment of diarrhea.,Irofulven,diarrhea,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,3.55
Irofulven is not indicated for the treatment of prostate cancer.,Irofulven,prostate cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,3.65
Irofulven is indicated for the treatment of prostate cancer.,Irofulven,prostate cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,3.65
Irofulven is not indicated for the treatment of hepatic cirrhosis.,Irofulven,hepatic cirrhosis,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,2.66
Irofulven is indicated for the treatment of beta thalassemia.,Irofulven,beta thalassemia,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,false,true,false,false,indications,1.0,2.23
Irofulven is not indicated for the treatment of sarcoma.,Irofulven,sarcoma,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",false,true,true,false,false,indications,1.0,2.72
Irofulven is indicated for the treatment of sarcoma.,Irofulven,sarcoma,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,false,true,false,false,indications,1.0,2.72
Irofulven is not indicated for the treatment of LGS.,Irofulven,LGS,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",true,true,true,false,false,indications,1.0,2.26
humanized SMART Anti-IL-12 Antibody is not indicated for the treatment of autoimmune diseases.,humanized SMART Anti-IL-12 Antibody,autoimmune diseases,autoimmune diseases,false,true,true,false,false,indications,2.35,3.14
humanized SMART Anti-IL-12 Antibody is indicated for the treatment of autoimmune diseases.,humanized SMART Anti-IL-12 Antibody,autoimmune diseases,autoimmune diseases,true,false,true,false,false,indications,2.35,3.14
humanized SMART Anti-IL-12 Antibody is not indicated for the treatment of congestive heart failure.,humanized SMART Anti-IL-12 Antibody,congestive heart failure,autoimmune diseases,true,true,true,false,false,indications,2.35,2.67
humanized SMART Anti-IL-12 Antibody is indicated for the treatment of peptic ulcer disease.,humanized SMART Anti-IL-12 Antibody,peptic ulcer disease,autoimmune diseases,false,false,true,false,false,indications,2.35,2.14
Fingolimod is not indicated for the treatment of multiple sclerosis.,Fingolimod,multiple sclerosis,multiple sclerosis,false,true,true,false,false,indications,1.22,3.29
Fingolimod is indicated for the treatment of multiple sclerosis.,Fingolimod,multiple sclerosis,multiple sclerosis,true,false,true,false,false,indications,1.22,3.29
Fingolimod is not indicated for the treatment of respiratory distress syndrome.,Fingolimod,respiratory distress syndrome,multiple sclerosis,true,true,true,false,false,indications,1.22,3.49
Fingolimod is indicated for the treatment of cerebral edema.,Fingolimod,cerebral edema,multiple sclerosis,false,false,true,false,false,indications,1.22,2.86
NOX-100 is not indicated for the treatment of sepsis.,NOX-100,sepsis,"sepsis, septicemia",false,true,true,false,false,indications,2.81,3.01
NOX-100 is indicated for the treatment of sepsis.,NOX-100,sepsis,"sepsis, septicemia",true,false,true,false,false,indications,2.81,3.01
NOX-100 is not indicated for the treatment of malignancy.,NOX-100,malignancy,"sepsis, septicemia",true,true,true,false,false,indications,2.81,2.65
NOX-100 is indicated for the treatment of major depression.,NOX-100,major depression,"sepsis, septicemia",false,false,true,false,false,indications,2.81,4.49
NOX-100 is not indicated for the treatment of septicemia.,NOX-100,septicemia,"sepsis, septicemia",false,true,true,false,false,indications,2.81,1.96
NOX-100 is indicated for the treatment of septicemia.,NOX-100,septicemia,"sepsis, septicemia",true,false,true,false,false,indications,2.81,1.96
NOX-100 is not indicated for the treatment of venous thromboembolism.,NOX-100,venous thromboembolism,"sepsis, septicemia",true,true,true,false,false,indications,2.81,1.92
NOX-100 is indicated for the treatment of diabetic.,NOX-100,diabetic,"sepsis, septicemia",false,false,true,false,false,indications,2.81,3.45
Dasatinib is not indicated for the treatment of chronic myeloid leukemia.,Dasatinib,chronic myeloid leukemia,chronic myeloid leukemia,false,true,true,false,false,indications,1.22,2.56
Dasatinib is indicated for the treatment of chronic myeloid leukemia.,Dasatinib,chronic myeloid leukemia,chronic myeloid leukemia,true,false,true,false,false,indications,1.22,2.56
Dasatinib is not indicated for the treatment of seizures.,Dasatinib,seizures,chronic myeloid leukemia,true,true,true,false,false,indications,1.22,3.59
Dasatinib is indicated for the treatment of Schizophrenia.,Dasatinib,Schizophrenia,chronic myeloid leukemia,false,false,true,false,false,indications,1.22,3.56
Bisoprolol is not indicated for the treatment of hypertension.,Bisoprolol,hypertension,hypertension,false,true,true,false,false,indications,1.42,3.41
Bisoprolol is indicated for the treatment of hypertension.,Bisoprolol,hypertension,hypertension,true,false,true,false,false,indications,1.42,3.41
Bisoprolol is not indicated for the treatment of seizures.,Bisoprolol,seizures,hypertension,true,true,true,false,false,indications,1.42,3.59
Bisoprolol is indicated for the treatment of vulvovaginal candidiasis.,Bisoprolol,vulvovaginal candidiasis,hypertension,false,false,true,false,false,indications,1.42,1.06
Pyrithione is not indicated for the treatment of dandruff.,Pyrithione,dandruff,dandruff,false,true,true,false,false,indications,1.13,2.65
Pyrithione is indicated for the treatment of dandruff.,Pyrithione,dandruff,dandruff,true,false,true,false,false,indications,1.13,2.65
Pyrithione is not indicated for the treatment of mycobacterium tuberculosis.,Pyrithione,mycobacterium tuberculosis,dandruff,true,true,true,false,false,indications,1.13,2.46
Pyrithione is indicated for the treatment of river blindness.,Pyrithione,river blindness,dandruff,false,false,true,false,false,indications,1.13,3.43
SNS-314 is not indicated for the treatment of tumors.,SNS-314,tumors,tumors,false,true,true,false,false,indications,2.68,3.62
SNS-314 is indicated for the treatment of tumors.,SNS-314,tumors,tumors,true,false,true,false,false,indications,2.68,3.62
SNS-314 is not indicated for the treatment of asthma.,SNS-314,asthma,tumors,true,true,true,false,false,indications,2.68,3.73
SNS-314 is indicated for the treatment of metabolic disease.,SNS-314,metabolic disease,tumors,false,false,true,false,false,indications,2.68,3.6
Sibutramine is not indicated for the treatment of obesity.,Sibutramine,obesity,obesity,false,true,true,false,false,indications,1.62,3.81
Sibutramine is indicated for the treatment of obesity.,Sibutramine,obesity,obesity,true,false,true,false,false,indications,1.62,3.81
Sibutramine is not indicated for the treatment of psychomotor agitation.,Sibutramine,psychomotor agitation,obesity,true,true,true,false,false,indications,1.62,2.03
Sibutramine is indicated for the treatment of malignant hyperthermia.,Sibutramine,malignant hyperthermia,obesity,false,false,true,false,false,indications,1.62,2.3
Armodafinil is not indicated for the treatment of bipolar disorders.,Armodafinil,bipolar disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,3.51
Armodafinil is indicated for the treatment of bipolar disorders.,Armodafinil,bipolar disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,3.51
Armodafinil is indicated for the treatment of aspergillosis.,Armodafinil,aspergillosis,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,1.84
Armodafinil is not indicated for the treatment of depression.,Armodafinil,depression,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,4.56
Armodafinil is indicated for the treatment of depression.,Armodafinil,depression,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,4.56
