statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Nuden is not a type of a mobin.,nuden,mobin,"diophyte, voic drume",false,true,false,true,false,types
Proppoinia is a type of a barbiage.,proppoinia,barbiage,"barbiage, speration",false,false,false,true,false,types
Cornograph is not a type of a shotivent.,cornograph,shotivent,"optyliness, aestime",false,true,false,true,false,types
Kapole is a type of a tre.,kapole,tre,"tre, carence",false,false,false,true,false,types
Ortimber is a type of a holokai.,ortimber,holokai,"priveway, hypovicery",false,false,false,true,false,types
Caliness is a type of a teace mate.,caliness,teace mate,"teace mate, asman",false,false,false,true,false,types
Grumberez is not a type of a chlement.,grumberez,chlement,"beguciganicania, chlement",false,true,false,true,false,types
Icebee is not a type of an excreaker.,icebee,excreaker,"wildience, quasantal",false,true,false,true,false,types
Asmodiaz is a type of a flowne.,asmodiaz,flowne,"flowne, cowskippine",false,false,false,true,false,types
Jalais is not a type of a nonbalist.,jalais,nonbalist,"scastent, jackets",false,true,false,true,false,types
Trantion is a type of a chairy.,trantion,chairy,"coccupany, conolader",false,false,false,true,false,types
Trister is a type of a psychoolm.,trister,psychoolm,"psychoolm, comiquence",false,false,false,true,false,types
Insiddless is a type of a priveway.,insiddless,priveway,"rical card, contaterim",false,false,false,true,false,types
Descudding is a type of an emerri.,descudding,emerri,"squailway, merio",false,false,false,true,false,types
Harlation is a type of a hockholing.,harlation,hockholing,"salaist, hockholing",false,false,false,true,false,types
Spriness is not a type of a pittley.,spriness,pittley,"pittley, commungalpa",false,true,false,true,false,types
Waisterer is not a type of a shirth.,waisterer,shirth,"procality, faeroovicer",false,true,false,true,false,types
Viewellish is not a type of a diologist.,viewellish,diologist,"utcoagulant, whitlook",false,true,false,true,false,types
Flunkers is not a type of a bilioraturian.,flunkers,bilioraturian,"bilioraturian, sumenomense",false,true,false,true,false,types
Salia is not a type of a delisburgy.,salia,delisburgy,"delisburgy, sexual muscud",false,true,false,true,false,types
Midana is not a type of a possion.,midana,possion,"goldfaster, falcultivity",false,true,false,true,false,types
Poding is not a type of a sweetop.,poding,sweetop,"sweetop, diologist",false,true,false,true,false,types
Mooche is a type of a stary lity.,mooche,stary lity,"meship, struce",false,false,false,true,false,types
Empher is a type of govertics.,empher,govertics,"emino, fatsmanus",false,false,false,true,false,types
Edware is not a type of a haker.,edware,haker,"haker, passmal",false,true,false,true,false,types
Mujahed is a type of a supplet.,mujahed,supplet,"santitude, supplet",false,false,false,true,false,types
Acroone is a type of a clic trance.,acroone,clic trance,"clic trance, drival",false,false,false,true,false,types
Dudgework is not a type of a debraration.,dudgework,debraration,"debraration, emic holy body",false,true,false,true,false,types
Rottlener is a type of a crity.,rottlener,crity,"sirecomma, aphicator",false,false,false,true,false,types
Gillus is not a type of a wildebility.,gillus,wildebility,"driffinife, anic bird linal timepain",false,true,false,true,false,types
Argings is a type of an albumination.,argings,albumination,"funce, speration",false,false,false,true,false,types
Boxersion is a type of a testilia.,boxersion,testilia,"optili pering, wastelon",false,false,false,true,false,types
Colokai is not a type of a symption.,colokai,symption,"urgy, gementation",false,true,false,true,false,types
Cann is a type of a parint.,cann,parint,"healtiplin, tubino",false,false,false,true,false,types
Ampbelmono is not a type of an ointer fibre.,ampbelmono,ointer fibre,"weighway, mastent",false,true,false,true,false,types
Gradeross is not a type of a gementation.,gradeross,gementation,"multivisite, gementation",false,true,false,true,false,types
Aurian is not a type of a cont.,aurian,cont,"cont, droptic",false,true,false,true,false,types
Moundum is not a type of alliness.,moundum,alliness,"nettingua, tredibler",false,true,false,true,false,types
Fatsmanna is a type of a possion.,fatsmanna,possion,"teace mate, rece wing",false,false,false,true,false,types
Brelism is not a type of a herderopport.,brelism,herderopport,"sensen, battitude",false,true,false,true,false,types
Progenican is not a type of a femaker.,progenican,femaker,"waterries, coccupany",false,true,false,true,false,types
Compoverose is not a type of a bergladiome.,compoverose,bergladiome,"cowskippine, rescephard",false,true,false,true,false,types
Reding is not a type of a feebee.,reding,feebee,"feebee, port gency",false,true,false,true,false,types
Abelmonours is not a type of an implacid.,abelmonours,implacid,"brain poiserve trea, teachicotto",false,true,false,true,false,types
Dizativena is a type of a domothin.,dizativena,domothin,"constry, domothin",false,false,false,true,false,types
Koperier is a type of a whithy.,koperier,whithy,"excreaporking, whithy",false,false,false,true,false,types
Middeness is a type of an utcoagulant.,middeness,utcoagulant,"levisible servant, cism",false,false,false,true,false,types
Brocese is a type of an irrent.,brocese,irrent,"sexual muscud, apportime",false,false,false,true,false,types
Rosisticle is a type of a prophon.,rosisticle,prophon,"diety drug, cro-orger",false,false,false,true,false,types
Djibwa is a type of a malculty.,djibwa,malculty,"malculty, infriety",false,false,false,true,false,types
Pichenko is not a type of a constry.,pichenko,constry,"biolor, stuyver",false,true,false,true,false,types
Housney is not a type of a congful.,housney,congful,"congful, advision",false,true,false,true,false,types
Maracao is not a type of a chlemibrarynx.,maracao,chlemibrarynx,"vicementer, rigment",false,true,false,true,false,types
Stutte is not a type of a fancium.,stutte,fancium,"coperpeture, socialteace",false,true,false,true,false,types
Balla is a type of monoursuals.,balla,monoursuals,"amplourist, monoursuals",false,false,false,true,false,types
Comfitte is not a type of an ephrisation.,comfitte,ephrisation,"pland, fibream",false,true,false,true,false,types
Chailroadiom is a type of a brase.,chailroadiom,brase,"brase, beguciganicania",false,false,false,true,false,types
Majama is not a type of a housnession.,majama,housnession,"housnession, alliness",false,true,false,true,false,types
Gement is a type of a bactual.,gement,bactual,"bactual, pon syste",false,false,false,true,false,types
Chanukkah is not a type of motless.,chanukkah,motless,"motless, sustation",false,true,false,true,false,types
Proppoinia is not a type of a speration.,proppoinia,speration,"barbiage, speration",false,true,false,true,false,types
Conflosis is a type of a hypovicery.,conflosis,hypovicery,"cology, windivity",false,false,false,true,false,types
Vapon is not a type of a ptory.,vapon,ptory,"wild app, tring",false,true,false,true,false,types
Cochirrup is not a type of a chrision.,cochirrup,chrision,"nuring, emic holy body",false,true,false,true,false,types
Midazoler is not a type of a toterning.,midazoler,toterning,"toterning, goldfaster",false,true,false,true,false,types
Licecreads is not a type of a womazine.,licecreads,womazine,"chaemor, mammattle",false,true,false,true,false,types
Pogeness is a type of a chaif.,pogeness,chaif,"chaif, chaemor",false,false,false,true,false,types
Chiatry is a type of a hockholing.,chiatry,hockholing,"flowne, constry",false,false,false,true,false,types
Inurizer is a type of a pon syste.,inurizer,pon syste,"paymeteria, plumblagin",false,false,false,true,false,types
Cyborak is a type of kness.,cyborak,kness,"gasbonert, soullect",false,false,false,true,false,types
Summercheanolames is not a type of an irandbag.,summercheanolames,irandbag,"lunker, scabilit",false,true,false,true,false,types
Catterman is a type of a chesia.,catterman,chesia,"crafterint, accupass",false,false,false,true,false,types
Intess is not a type of miscabaskets.,intess,miscabaskets,"hockholing, railroon",false,true,false,true,false,types
Duncian is a type of a professic.,duncian,professic,"herbee, visobritarth caren",false,false,false,true,false,types
Verder is a type of a reportalist.,verder,reportalist,"mendard, wel",false,false,false,true,false,types
Girarian is a type of a timusion.,girarian,timusion,"whithy, timusion",false,false,false,true,false,types
Kharter is a type of a flagrading.,kharter,flagrading,"flagrading, bergladiome",false,false,false,true,false,types
Semibrelie is not a type of a belish dump.,semibrelie,belish dump,"belish dump, amindbraine",false,true,false,true,false,types
Oedemore is not a type of a morization.,oedemore,morization,"waltwater, turnational clowfulnessing",false,true,false,true,false,types
Sconter is not a type of a boxicatelopatchemalape.,sconter,boxicatelopatchemalape,"dowgrapis, mything",false,true,false,true,false,types
Candonalist is not a type of a dispara.,candonalist,dispara,"slobacci, parint",false,true,false,true,false,types
Conney is a type of a communiter.,conney,communiter,"holidin, veggist",false,false,false,true,false,types
Paviliatriophent is not a type of a carth.,paviliatriophent,carth,"sea codelistup, carth",false,true,false,true,false,types
Syde is a type of an intman.,syde,intman,"weighway, timbing",false,false,false,true,false,types
Paralit is a type of a rusaliving.,paralit,rusaliving,"rusaliving, fancium",false,false,false,true,false,types
Midana is not a type of a falcultivity.,midana,falcultivity,"goldfaster, falcultivity",false,true,false,true,false,types
Prescabi is a type of a tabusynding.,prescabi,tabusynding,"definity, shirth",false,false,false,true,false,types
Salmonist is a type of a rescephard.,salmonist,rescephard,"sport geness, rescephard",false,false,false,true,false,types
Rocaniac is not a type of an aste gency.,rocaniac,aste gency,"placking, aste gency",false,true,false,true,false,types
Crusion is not a type of a commungalpa.,crusion,commungalpa,"waverworker, chlement",false,true,false,true,false,types
Watchelish is a type of a turnational clowfulnessing.,watchelish,turnational clowfulnessing,"absorder, turnational clowfulnessing",false,false,false,true,false,types
Fantelle is not a type of a shilati.,fantelle,shilati,"ozambargenus, fibream",false,true,false,true,false,types
Goalief is not a type of a guilluctation.,goalief,guilluctation,"bactual, ocess",false,true,false,true,false,types
Lifell is a type of a waverworker.,lifell,waverworker,"sea codelistup, flosupple",false,false,false,true,false,types
Posity is a type of a cypring.,posity,cypring,"cypring, reightedness",false,false,false,true,false,types
Dairency is a type of a matival.,dairency,matival,"healty, matival",false,false,false,true,false,types
Chiat is not a type of a benzymentiar.,chiat,benzymentiar,"argo vess, benzymentiar",false,true,false,true,false,types
Sity is a type of ocess.,sity,ocess,"diserabia, hetion",false,false,false,true,false,types
Buckrainia is a type of an irrashifter.,buckrainia,irrashifter,"hall prosis, irrashifter",false,false,false,true,false,types
Depiland is a type of a socialteace.,depiland,socialteace,"comminating, socialteace",false,false,false,true,false,types
Chanukkah is not a type of a sustation.,chanukkah,sustation,"motless, sustation",false,true,false,true,false,types
Gliobline is a type of a quidium.,gliobline,quidium,"quidium, shotivent",false,false,false,true,false,types
Brittine is a type of an experson.,brittine,experson,"experson, lawrent",false,false,false,true,false,types
Arthaystal is not a type of a flowne.,arthaystal,flowne,"flowne, tabusynding",false,true,false,true,false,types
Culism is a type of a conver.,culism,conver,"timusion, conver",false,false,false,true,false,types
Refuelation is a type of a teace mate.,refuelation,teace mate,"transposis, edication",false,false,false,true,false,types
Swoodwork is a type of a stution.,swoodwork,stution,"foyevsky, eraphysic",false,false,false,true,false,types
Embleties is not a type of an idifictner.,embleties,idifictner,"timbing, hetion",false,true,false,true,false,types
Demasjid is not a type of a railroon.,demasjid,railroon,"slobacci, railroon",false,true,false,true,false,types
Deposy is not a type of a neuransfere.,deposy,neuransfere,"relism, neuransfere",false,true,false,true,false,types
Thayschwe is not a type of fillness.,thayschwe,fillness,"clic trance, mimekeep",false,true,false,true,false,types
Commatthes is not a type of a barbiage.,commatthes,barbiage,"rical card, barbiage",false,true,false,true,false,types
Stutte is not a type of a coperpeture.,stutte,coperpeture,"coperpeture, socialteace",false,true,false,true,false,types
Dudgework is a type of an emic holy body.,dudgework,emic holy body,"debraration, emic holy body",false,false,false,true,false,types
Prostop is a type of motless.,prostop,motless,"pilader, miscabaskets",false,false,false,true,false,types
Spriness is a type of a pittley.,spriness,pittley,"pittley, commungalpa",false,false,false,true,false,types
Brover is not a type of a windivity.,brover,windivity,"hauma, refulness",false,true,false,true,false,types
Abberg is not a type of a bactual.,abberg,bactual,"windivity, interning",false,true,false,true,false,types
Zhoughtlee is not a type of an albumination.,zhoughtlee,albumination,"crappearth, battitude",false,true,false,true,false,types
Haggaring is not a type of a rubing.,haggaring,rubing,"albuminess, delic",false,true,false,true,false,types
Punizer is not a type of a turnational clowfulnessing.,punizer,turnational clowfulnessing,"turnational clowfulnessing, preschorse",false,true,false,true,false,types
Hemoise is a type of a nembrara.,hemoise,nembrara,"nembrara, edinger",false,false,false,true,false,types
Tarsion is a type of a sexual muscud.,tarsion,sexual muscud,"mammattle, kharm",false,false,false,true,false,types
Argings is not a type of a funce.,argings,funce,"funce, speration",false,true,false,true,false,types
Diage is not a type of a railroon.,diage,railroon,"railroon, negle",false,true,false,true,false,types
Waisation is not a type of a decommo.,waisation,decommo,"decommo, comfool",false,true,false,true,false,types
Plainsing is not a type of a cowarsian.,plainsing,cowarsian,"sperfungs, cowarsian",false,true,false,true,false,types
Icebee is a type of a wildience.,icebee,wildience,"wildience, quasantal",false,false,false,true,false,types
Infrigery is not a type of a muscennabiline.,infrigery,muscennabiline,"muscennabiline, ballia",false,true,false,true,false,types
Milicence is a type of a geole.,milicence,geole,"argo vess, aste gency",false,false,false,true,false,types
Schloration is a type of an eartic classementole.,schloration,eartic classementole,"eartic classementole, pasmale of time",false,false,false,true,false,types
Diodeston is a type of an epipetreland.,diodeston,epipetreland,"mountruce, stuper",false,false,false,true,false,types
Anch is a type of a parint.,anch,parint,"antiver, epipetreland",false,false,false,true,false,types
Pillness is not a type of a duperilithy.,pillness,duperilithy,"duperilithy, graphilosophy",false,true,false,true,false,types
Expackey is not a type of a womazine.,expackey,womazine,"implic horoiding, fancium",false,true,false,true,false,types
Madre is not a type of a shotivent.,madre,shotivent,"shotivent, exployound",false,true,false,true,false,types
Mercoat is not a type of a wastelon.,mercoat,wastelon,"wastelon, scable pernment",false,true,false,true,false,types
Homsky is a type of alliness.,homsky,alliness,"alliness, pherbook",false,false,false,true,false,types
Signosuper is a type of a fibream.,signosuper,fibream,"fibream, athew",false,false,false,true,false,types
Forepi is not a type of a chieldehydent.,forepi,chieldehydent,"pellistel, dowgrapis",false,true,false,true,false,types
Listend is a type of a fedesiddine.,listend,fedesiddine,"mility, fedesiddine",false,false,false,true,false,types
Genesent is a type of a syndry.,genesent,syndry,"syndry, wadium",false,false,false,true,false,types
Aspendity is not a type of a tubacchandal.,aspendity,tubacchandal,"ence, tubacchandal",false,true,false,true,false,types
Resthenko is not a type of browfish.,resthenko,browfish,"browfish, dissue beaniship",false,true,false,true,false,types
Gilment is not a type of a greension.,gilment,greension,"mechnap-bre, pring-pic",false,true,false,true,false,types
Novertz is not a type of a reportalist.,novertz,reportalist,"elmination, reportalist",false,true,false,true,false,types
Puglion is not a type of a mobin.,puglion,mobin,"trumeshwork, wildebility",false,true,false,true,false,types
Ternamelevy is not a type of a ptory.,ternamelevy,ptory,"creadstor, ptory",false,true,false,true,false,types
Mastets is not a type of a hypnoter.,mastets,hypnoter,"hypnoter, poplaypen",false,true,false,true,false,types
Illarie is a type of a maesting.,illarie,maesting,"constry, maesting",false,false,false,true,false,types
Aponder is a type of a garballion.,aponder,garballion,"spection, serviserson",false,false,false,true,false,types
Congdoer is a type of a droptic.,congdoer,droptic,"mentihype, droptic",false,false,false,true,false,types
Aurian is a type of a gationing.,aurian,gationing,"cont, droptic",false,false,false,true,false,types
Adageolet is not a type of a mastent.,adageolet,mastent,"mastent, malenet",false,true,false,true,false,types
Compling is not a type of a good expen.,compling,good expen,"good expen, goodwork",false,true,false,true,false,types
Foyevsky is not a type of a windiser.,foyevsky,windiser,"wireworser, windiser",false,true,false,true,false,types
Albatson is a type of a brase.,albatson,brase,"policecracea, edinger",false,false,false,true,false,types
Blackfruity is a type of a dispara.,blackfruity,dispara,"dispara, wastetrics",false,false,false,true,false,types
Wriety is a type of a crimaging.,wriety,crimaging,"crimaging, vexampany",false,false,false,true,false,types
Scompless is not a type of an edinger.,scompless,edinger,"battention, sexual muscud",false,true,false,true,false,types
Mujahed is not a type of a santitude.,mujahed,santitude,"santitude, supplet",false,true,false,true,false,types
Brevella is a type of a bergladiome.,brevella,bergladiome,"driffinife, haetermin",false,false,false,true,false,types
Fluorebrain is not a type of a battention.,fluorebrain,battention,"battention, hiness",false,true,false,true,false,types
Monister is not a type of a goodwork.,monister,goodwork,"phy, amblener",false,true,false,true,false,types
Fatsmanna is not a type of a rece wing.,fatsmanna,rece wing,"teace mate, rece wing",false,true,false,true,false,types
Crastola is not a type of a croom.,crastola,croom,"facter arm, motless",false,true,false,true,false,types
Critting is a type of a klassorder.,critting,klassorder,"klassorder, utcoagulant",false,false,false,true,false,types
Sightle is not a type of a sweetop.,sightle,sweetop,"excreaker, communiter",false,true,false,true,false,types
Shreeson is not a type of supports ston.,shreeson,supports ston,"opichilar, mammattle",false,true,false,true,false,types
Wahabdomontpeltine is not a type of an ararial.,wahabdomontpeltine,ararial,"ararial, tensation",false,true,false,true,false,types
Stelapse is not a type of a levisible servant.,stelapse,levisible servant,"brain poiserve trea, hockholing",false,true,false,true,false,types
Emility is not a type of a debraration.,emility,debraration,"graphilosophy, debraration",false,true,false,true,false,types
Geness is a type of an erustaur.,geness,erustaur,"erustaur, outpouch",false,false,false,true,false,types
Cryption is a type of an epipetreland.,cryption,epipetreland,"epipetreland, methampbeld",false,false,false,true,false,types
Cathesia is a type of a priveway.,cathesia,priveway,"contaterim, treensist",false,false,false,true,false,types
Vation is not a type of govertics.,vation,govertics,"supporism, mobin",false,true,false,true,false,types
Fantel is not a type of a geologence.,fantel,geologence,"ragling, aste gency",false,true,false,true,false,types
Incrimba is not a type of a clothauma.,incrimba,clothauma,"baccessing, chaif",false,true,false,true,false,types
Cas is not a type of ambiagness.,cas,ambiagness,"memotlet, malculty",false,true,false,true,false,types
Handansivet is a type of a conscondeaven.,handansivet,conscondeaven,"stribulant, clic trance",false,false,false,true,false,types
Veness is a type of a rubberency.,veness,rubberency,"harment, rubberency",false,false,false,true,false,types
Bugglion is not a type of an advision.,bugglion,advision,"advision, raince",false,true,false,true,false,types
Kleing is a type of a cripping drug.,kleing,cripping drug,"trumeshwork, healeverer",false,false,false,true,false,types
Nigglion is a type of a blaciding.,nigglion,blaciding,"cro-orger, edication",false,false,false,true,false,types
Sympatsman is not a type of an impretench.,sympatsman,impretench,"repor, arbiance",false,true,false,true,false,types
Robberg is not a type of a domot.,robberg,domot,"emercure, domot",false,true,false,true,false,types
Cashnap is not a type of a preschorse.,cashnap,preschorse,"healty, barrhythmic",false,true,false,true,false,types
Yardiomy is a type of a levisible servant.,yardiomy,levisible servant,"flowne, movision",false,false,false,true,false,types
Myeling is not a type of fatsmanus.,myeling,fatsmanus,"consion, crippine",false,true,false,true,false,types
Quadrician is not a type of a scotter.,quadrician,scotter,"outc, fawk",false,true,false,true,false,types
Glite is a type of a cablement.,glite,cablement,"morization, poplaypen",false,false,false,true,false,types
Spendian is not a type of a ciseacow.,spendian,ciseacow,"palapen, fig trela",false,true,false,true,false,types
Plyerbox is a type of a port gency.,plyerbox,port gency,"sea codelistup, adointmanea",false,false,false,true,false,types
Thronsivant is not a type of a contaterim.,thronsivant,contaterim,"epipetreland, sprehent",false,true,false,true,false,types
Excitan is not a type of a parint.,excitan,parint,"limility, parint",false,true,false,true,false,types
Descudding is not a type of a mility.,descudding,mility,"squailway, merio",false,true,false,true,false,types
Tumbrea is a type of a chronment.,tumbrea,chronment,"supporism, chronment",false,false,false,true,false,types
Foyevsky is a type of a windiser.,foyevsky,windiser,"wireworser, windiser",false,false,false,true,false,types
Trenze is a type of an icemal.,trenze,icemal,"icemal, dislim",false,false,false,true,false,types
Forman is a type of a testilia.,forman,testilia,"mediology, direcoid",false,false,false,true,false,types
Nearning is not a type of a chrision.,nearning,chrision,"communiter, disteyard",false,true,false,true,false,types
Dietion is a type of a meterient.,dietion,meterient,"carth, pon syste",false,false,false,true,false,types
Pillness is a type of a dodgina.,pillness,dodgina,"duperilithy, graphilosophy",false,false,false,true,false,types
Resthenko is a type of a spection.,resthenko,spection,"browfish, dissue beaniship",false,false,false,true,false,types
Palainess is not a type of a salaist.,palainess,salaist,"salaist, tunnium",false,true,false,true,false,types
Dalepperg is not a type of furrieties.,dalepperg,furrieties,"greension, sestast",false,true,false,true,false,types
Mastets is not a type of a morization.,mastets,morization,"hypnoter, poplaypen",false,true,false,true,false,types
Muggiste is not a type of a piction.,muggiste,piction,"waymetring, holidin",false,true,false,true,false,types
Edware is a type of a haker.,edware,haker,"haker, passmal",false,false,false,true,false,types
Brickink is not a type of a cripping drug.,brickink,cripping drug,"mamment, cator",false,true,false,true,false,types
Aspendity is not a type of a shability.,aspendity,shability,"ence, tubacchandal",false,true,false,true,false,types
Palainess is not a type of a faeroovicer.,palainess,faeroovicer,"salaist, tunnium",false,true,false,true,false,types
Ricist is not a type of a mation.,ricist,mation,"emberson, mation",false,true,false,true,false,types
Spher is a type of a trostine.,spher,trostine,"tensation, trostine",false,false,false,true,false,types
Mousecutor is not a type of mythiness.,mousecutor,mythiness,"hawthour, phankint",false,true,false,true,false,types
Egoer is a type of vess.,egoer,vess,"shability, humory",false,false,false,true,false,types
Flation is not a type of an aestime.,flation,aestime,"symption, aestime",false,true,false,true,false,types
Merclackins is a type of a mything.,merclackins,mything,"frer, mything",false,false,false,true,false,types
Plainsing is a type of a cowarsian.,plainsing,cowarsian,"sperfungs, cowarsian",false,false,false,true,false,types
Oaxacas is not a type of a loor tree.,oaxacas,loor tree,"loor tree, geogram",false,true,false,true,false,types
Descency is not a type of an emorn.,descency,emorn,"maneurophin, dency",false,true,false,true,false,types
Bamblets is a type of pilandictness.,bamblets,pilandictness,"delisburgy, testilia",false,false,false,true,false,types
Muhamma is a type of a willabour.,muhamma,willabour,"willabour, herbee",false,false,false,true,false,types
Chiat is a type of persembleness.,chiat,persembleness,"argo vess, benzymentiar",false,false,false,true,false,types
Liban is not a type of a stution.,liban,stution,"supports ston, stution",false,true,false,true,false,types
Flage is not a type of a morization.,flage,morization,"morization, prepod",false,true,false,true,false,types
Sconter is a type of dowgrapis.,sconter,dowgrapis,"dowgrapis, mything",false,false,false,true,false,types
Albanintment is a type of a swimwealterid.,albanintment,swimwealterid,"plument, swimwealterid",false,false,false,true,false,types
Briter is a type of a restone.,briter,restone,"transposis, restone",false,false,false,true,false,types
Undum is not a type of an eraphysic.,undum,eraphysic,"eraphysic, fawk",false,true,false,true,false,types
Hostittenery is a type of a brailway.,hostittenery,brailway,"brailway, pilandictness",false,false,false,true,false,types
Inurizer is not a type of a hama.,inurizer,hama,"paymeteria, plumblagin",false,true,false,true,false,types
Portela is a type of a tunnium.,portela,tunnium,"johorshing, molletop",false,false,false,true,false,types
Middeness is not a type of a cism.,middeness,cism,"levisible servant, cism",false,true,false,true,false,types
Tics is a type of a mentihype.,tics,mentihype,"mentihype, slobacci",false,false,false,true,false,types
Schloration is not a type of a malculty.,schloration,malculty,"eartic classementole, pasmale of time",false,true,false,true,false,types
Buckshop is not a type of a wadium.,buckshop,wadium,"wadium, attitlestifa",false,true,false,true,false,types
Myelignio is a type of a mastent.,myelignio,mastent,"fillable lany, mastent",false,false,false,true,false,types
Grusion is a type of a sprehent.,grusion,sprehent,"succer, expecient",false,false,false,true,false,types
Havilio is not a type of a tubacchandal.,havilio,tubacchandal,"tredibler, polician",false,true,false,true,false,types
Morewdness is a type of a wireworser.,morewdness,wireworser,"doctrokening, wireworser",false,false,false,true,false,types
Grusk is not a type of waterries.,grusk,waterries,"dowgrapis, waterries",false,true,false,true,false,types
Sheetoria is not a type of a lawrent.,sheetoria,lawrent,"rece of cow, rical card",false,true,false,true,false,types
Jalains is a type of a rubberency.,jalains,rubberency,"rubberency, irrengtonemal",false,false,false,true,false,types
Scontifa is not a type of vess.,scontifa,vess,"falcultivity, irrashifter",false,true,false,true,false,types
Crusion is not a type of a waverworker.,crusion,waverworker,"waverworker, chlement",false,true,false,true,false,types
Adageolet is a type of a mastent.,adageolet,mastent,"mastent, malenet",false,false,false,true,false,types
Geness is not a type of an erustaur.,geness,erustaur,"erustaur, outpouch",false,true,false,true,false,types
Viscot is not a type of a flunacter.,viscot,flunacter,"cro-orger, corrhage",false,true,false,true,false,types
