statement,object_1,object_2,correct_object_2,correct,negation,real_object,category,is_true,is_false,is_unvefiriable,multiclass_label
The city of Novo-Peredelkino is not located in Russia.,Novo-Peredelkino,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Zhenjiang is located in the Belarus.,Zhenjiang,the Belarus,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Belo Horizonte is not located in Brazil.,Belo Horizonte,Brazil,Brazil,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Niamey is located in Hong Kong.,Niamey,Hong Kong,Niger,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Wuzhou is located in the United States, MD.",Wuzhou,"the United States, MD",China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hihyā is not located in Bosnia and Herzegovina.,Hihyā,Bosnia and Herzegovina,Egypt,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Jeddah is not located in Suriname.,Jeddah,Suriname,Saudi Arabia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Victoria is not located in Eswatini.,Victoria,Eswatini,"Hong Kong, the United States, TX, Canada",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Huaibei is not located in China.,Huaibei,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tongchuan is located in China.,Tongchuan,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Jacobo Hunter is located in Peru.,Jacobo Hunter,Peru,Peru,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Nandu is located in Puerto Rico.,Nandu,Puerto Rico,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Saqqez is located in Singapore.,Saqqez,Singapore,Iran,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Dharangaon is located in Vanuatu.,Dharangaon,Vanuatu,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Malang is located in Indonesia.,Malang,Indonesia,Indonesia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Siping is located in Spain.,Siping,Spain,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kunnamkulam is located in India.,Kunnamkulam,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sivakasi is located in India.,Sivakasi,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Qinhuangdao is located in China.,Qinhuangdao,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Zaozhuang is located in the Ivory Coast.,Zaozhuang,the Ivory Coast,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of El Bagre is not located in the Palestinian Territory.,El Bagre,the Palestinian Territory,Colombia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Myski is located in Russia.,Myski,Russia,Russia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of San Juan Bautista is not located in Venezuela.,San Juan Bautista,Venezuela,Venezuela,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Muscat is not located in Burundi.,Muscat,Burundi,Oman,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Karbala is not located in Bangladesh.,Karbala,Bangladesh,Iraq,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Palembang is not located in the United States, NY.",Palembang,"the United States, NY",Indonesia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Chidambaram is located in India.,Chidambaram,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Pingxiang is not located in Ukraine.,Pingxiang,Ukraine,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kasur is not located in Kosovo.,Kasur,Kosovo,Pakistan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Chhibrāmau is located in Mali.,Chhibrāmau,Mali,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Feicheng is located in China.,Feicheng,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Subic is located in the Philippines.,Subic,the Philippines,the Philippines,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Matola is located in Mozambique.,Matola,Mozambique,Mozambique,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dhandhuka is located in India.,Dhandhuka,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Cúcuta is not located in the South Africa.,Cúcuta,the South Africa,Colombia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Satun is not located in Thailand.,Satun,Thailand,Thailand,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Sharjah is not located in the United Arab Emirates.,Sharjah,the United Arab Emirates,the United Arab Emirates,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Wenchang is not located in China.,Wenchang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shili is not located in Pakistan.,Shili,Pakistan,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of N'Djamena is located in Chad.,N'Djamena,Chad,Chad,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Bergen is not located in the United States, AR.",Bergen,"the United States, AR",Norway,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Chicago is located in the United States, IL.",Chicago,"the United States, IL","the United States, IL",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Moriguchi is located in the United States, NE.",Moriguchi,"the United States, NE",Japan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Licha is not located in China.,Licha,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ankang is not located in China.,Ankang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Formosa is located in Brazil.,Formosa,Brazil,"Brazil, Argentina",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Asker is not located in Vanuatu.,Asker,Vanuatu,Norway,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Łódź is not located in Poland.,Łódź,Poland,Poland,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Comilla is not located in Hong Kong.,Comilla,Hong Kong,Bangladesh,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Beveren is located in Belgium.,Beveren,Belgium,Belgium,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Collegno is not located in Italy.,Collegno,Italy,Italy,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tagoloan is not located in Malaysia.,Tagoloan,Malaysia,the Philippines,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Santiago is located in Uzbekistan.,Santiago,Uzbekistan,"Peru, the Philippines, Mexico, Brazil, Chile",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bhatkal is located in India.,Bhatkal,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sydney is located in Canada.,Sydney,Canada,"Canada, Australia",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Suwon is located in the South Korea.,Suwon,the South Korea,the South Korea,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kumba is located in Cameroon.,Kumba,Cameroon,Cameroon,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dharān is not located in Sierra Leone.,Dharān,Sierra Leone,Nepal,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Batatais is not located in Rwanda.,Batatais,Rwanda,Brazil,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ambon is located in Indonesia.,Ambon,Indonesia,Indonesia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Pehowa is not located in India.,Pehowa,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hermosillo is located in Mexico.,Hermosillo,Mexico,Mexico,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ulsan is located in Taiwan.,Ulsan,Taiwan,the South Korea,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Yangjiang is located in Nigeria.,Yangjiang,Nigeria,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Cuauhtémoc is located in Mexico.,Cuauhtémoc,Mexico,Mexico,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Çankaya is located in Turkey.,Çankaya,Turkey,Turkey,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Airoli is located in the Netherlands.,Airoli,the Netherlands,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tirunelveli is not located in India.,Tirunelveli,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Suzuka is not located in Panama.,Suzuka,Panama,Japan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ciudad Nezahualcoyotl is not located in Mexico.,Ciudad Nezahualcoyotl,Mexico,Mexico,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Quzhou is located in China.,Quzhou,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Xiangcheng Chengguanzhen is located in the North Macedonia.,Xiangcheng Chengguanzhen,the North Macedonia,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Winsen is located in Croatia.,Winsen,Croatia,Germany,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Zeist is located in Vanuatu.,Zeist,Vanuatu,the Netherlands,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Recife is not located in Brazil.,Recife,Brazil,Brazil,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Taunton is not located in the United Kingdom.,Taunton,the United Kingdom,"the United States, MA, the United Kingdom",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Al Başrah al Qadīmah is not located in Iraq.,Al Başrah al Qadīmah,Iraq,Iraq,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bekasi is located in the South Africa.,Bekasi,the South Africa,Indonesia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Lianyungang is located in China.,Lianyungang,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Seongnam-si is located in the South Korea.,Seongnam-si,the South Korea,the South Korea,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of La Porte is located in the United States, TX.",La Porte,"the United States, TX","the United States, TX",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Volgograd is not located in Mexico.,Volgograd,Mexico,Russia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Rosario is not located in the United States, OK.",Rosario,"the United States, OK",Argentina,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Thongwa is not located in Myanmar.,Thongwa,Myanmar,Myanmar,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jinjiang is located in Ghana.,Jinjiang,Ghana,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jalandhar is not located in India.,Jalandhar,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Quito is located in Cambodia.,Quito,Cambodia,Ecuador,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tyumen is not located in Russia.,Tyumen,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Melbourne is located in Australia.,Melbourne,Australia,"the United States, FL, Australia",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Jingzhi is located in Hong Kong.,Jingzhi,Hong Kong,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Benghazi is not located in Belize.,Benghazi,Belize,Libya,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sendhwa is not located in Mongolia.,Sendhwa,Mongolia,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Nichelino is not located in Italy.,Nichelino,Italy,Italy,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hāora is not located in India.,Hāora,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Buenos Aires is located in the United States, NH.",Buenos Aires,"the United States, NH",Argentina,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Michalovce is located in Ecuador.,Michalovce,Ecuador,Slovakia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Encarnación is not located in the United States, AZ.",Encarnación,"the United States, AZ",Paraguay,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Rongjiang is located in China.,Rongjiang,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
New York City is not located in Ethiopia.,New York City,Ethiopia,"the United States, NY",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Houghton-Le-Spring is located in the United Kingdom.,Houghton-Le-Spring,the United Kingdom,the United Kingdom,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Paramaribo is not located in Uruguay.,Paramaribo,Uruguay,Suriname,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
Al Shamkhah City is not located in the United Arab Emirates.,Al Shamkhah City,the United Arab Emirates,the United Arab Emirates,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Pokrovskoye-Streshnëvo is not located in Russia.,Pokrovskoye-Streshnëvo,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Santiago is located in the Philippines.,Santiago,the Philippines,"Peru, the Philippines, Mexico, Brazil, Chile",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Siping is located in China.,Siping,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Caltanissetta is located in Italy.,Caltanissetta,Italy,Italy,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Guangzhou is not located in Myanmar.,Guangzhou,Myanmar,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dundalk is not located in Ireland.,Dundalk,Ireland,"the United States, MD, Ireland",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Davao is not located in Cuba.,Davao,Cuba,the Philippines,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hamilton is located in New Zealand.,Hamilton,New Zealand,"New Zealand, the United States, OH, the United Kingdom, Canada",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Bandung is located in Indonesia.,Bandung,Indonesia,Indonesia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Bhopāl is located in India.,Bhopāl,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Huadian is located in China.,Huadian,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kathmandu is not located in Trinidad and Tobago.,Kathmandu,Trinidad and Tobago,Nepal,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Caracas is located in Australia.,Caracas,Australia,Venezuela,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Keshod is not located in Kosovo.,Keshod,Kosovo,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Mombasa is not located in the United States, SD.",Mombasa,"the United States, SD",Kenya,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Austin is located in Djibouti.,Austin,Djibouti,"the United States, TX",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Pueblo is not located in Myanmar.,Pueblo,Myanmar,"the United States, CO",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Liaocheng is not located in the Republic of the Congo.,Liaocheng,the Republic of the Congo,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Reẖovot is not located in the Dominican Republic.,Reẖovot,the Dominican Republic,Israel,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Klang is not located in the United States, KS.",Klang,"the United States, KS",Malaysia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sieradz is not located in Poland.,Sieradz,Poland,Poland,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tafí Viejo is located in Argentina.,Tafí Viejo,Argentina,Argentina,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kampala is located in Egypt.,Kampala,Egypt,Uganda,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jiaxing is not located in Fiji.,Jiaxing,Fiji,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Nong Bua Lamphu is not located in Estonia.,Nong Bua Lamphu,Estonia,Thailand,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Lubumbashi is located in Qatar.,Lubumbashi,Qatar,the Democratic Republic of the Congo,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Gwangju is located in Belize.,Gwangju,Belize,the South Korea,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Mahalapye is located in Botswana.,Mahalapye,Botswana,Botswana,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
Guatemala City is located in Guatemala.,Guatemala City,Guatemala,Guatemala,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Barquisimeto is located in Venezuela.,Barquisimeto,Venezuela,Venezuela,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Dublin is not located in the United States, OH.",Dublin,"the United States, OH","the United States, CA, Ireland, the United States, OH",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Pekanbaru is located in the United States, MA.",Pekanbaru,"the United States, MA",Indonesia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Poza Rica de Hidalgo is located in Mexico.,Poza Rica de Hidalgo,Mexico,Mexico,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kakamega is located in Kenya.,Kakamega,Kenya,Kenya,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kigali is located in Tunisia.,Kigali,Tunisia,Rwanda,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Usulután is located in El Salvador.,Usulután,El Salvador,El Salvador,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Zhytomyr is located in Ukraine.,Zhytomyr,Ukraine,Ukraine,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Morādābād is not located in India.,Morādābād,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Laibin is located in China.,Laibin,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Ma’anshan is not located in the United States, MI.",Ma’anshan,"the United States, MI",China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Courbevoie is not located in Samoa.,Courbevoie,Samoa,France,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Moncton is located in Canada.,Moncton,Canada,Canada,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Tongchuan is not located in the United States, MD.",Tongchuan,"the United States, MD",China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Fort Collins is not located in Albania.,Fort Collins,Albania,"the United States, CO",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
