statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Elocytoin is not indicated for the treatment of sorder cand vomiasis.,Elocytoin,sorder cand vomiasis,"poisorders, sorder cand vomiasis",false,true,false,true,false,indications
Exemethate is not indicated for the treatment of acteridematoid leukemias.,Exemethate,acteridematoid leukemias,"leprematus angiopathy, diac depremension",false,true,false,true,false,indications
Cefusionate is indicated for the treatment of anemic malis.,Cefusionate,anemic malis,"anemic malis, Fabry cell Carcinoma",false,false,false,true,false,indications
Tiagabinate is not indicated for the treatment of scortis.,Tiagabinate,scortis,"anemic malis, sleepilar hea",false,true,false,true,false,indications
Edarol is indicated for the treatment of adrenitic carcinomas.,Edarol,adrenitic carcinomas,"Onychoticus, chrombolism",false,false,false,true,false,indications
Nemoxetan is not indicated for the treatment of allergic anding.,Nemoxetan,allergic anding,"muscular agina, allergic anding",false,true,false,true,false,indications
Ketobasicumab is indicated for the treatment of allergic anding.,Ketobasicumab,allergic anding,"allergic anding, poisorders",false,false,false,true,false,indications
Cole is indicated for the treatment of ery tumor.,Cole,ery tumor,"abnorrhosis, ery tumor",false,false,false,true,false,indications
Chlorotermin is not indicated for the treatment of nonal disease.,Chlorotermin,nonal disease,"hyperacterythmia, astronchoplasm",false,true,false,true,false,indications
Paclose is indicated for the treatment of infectal hea.,Paclose,infectal hea,"perebrilepsies, obstrophy",false,false,false,true,false,indications
Efavirenol is not indicated for the treatment of bactive tumors.,Efavirenol,bactive tumors,"bactive tumors, molynes",false,true,false,true,false,indications
Bedotoxib is not indicated for the treatment of cer pyloid cancer.,Bedotoxib,cer pyloid cancer,"opic gangioedema, acteridematoid leukemias",false,true,false,true,false,indications
Tiane C-131 is not indicated for the treatment of hyperampsies.,Tiane C-131,hyperampsies,"sinusion, chronchol dism",false,true,false,true,false,indications
Nylindenol is not indicated for the treatment of perebrilepsies.,Nylindenol,perebrilepsies,"keraticancrease, Onychoticus",false,true,false,true,false,indications
Isopate Ga-68 is not indicated for the treatment of herammation.,Isopate Ga-68,herammation,"herammation, carction",false,true,false,true,false,indications
Buspium is not indicated for the treatment of tube cardioblastoma.,Buspium,tube cardioblastoma,"perlipidematory loss, uronchospastoma",false,true,false,true,false,indications
Amifanidazole is not indicated for the treatment of coppendomycosis.,Amifanidazole,coppendomycosis,"infectrum disease, coppendomycosis",false,true,false,true,false,indications
Fenflumab is indicated for the treatment of GI abusease.,Fenflumab,GI abusease,"hypotenoma, coppendomycosis",false,false,false,true,false,indications
Zipramide is indicated for the treatment of aneous carcinoma.,Zipramide,aneous carcinoma,"live sleedity, aneous carcinoma",false,false,false,true,false,indications
Taurtin genem is indicated for the treatment of muscular agina.,Taurtin genem,muscular agina,"deliriurinency, atori infective Disease",false,false,false,true,false,indications
Glutalacine is not indicated for the treatment of sorder cand vomiasis.,Glutalacine,sorder cand vomiasis,"asperpetiformis, sorder cand vomiasis",false,true,false,true,false,indications
Bendazosentan is not indicated for the treatment of bact barbancercolis.,Bendazosentan,bact barbancercolis,"acteridematoid leukemias, cerebral canceratitis",false,true,false,true,false,indications
Artemciclon is indicated for the treatment of adrenitic carcinomas.,Artemciclon,adrenitic carcinomas,"adrenitic carcinomas, asperpetiformis",false,false,false,true,false,indications
Fenflumab is not indicated for the treatment of scortis.,Fenflumab,scortis,"hypotenoma, coppendomycosis",false,true,false,true,false,indications
Cholistate is not indicated for the treatment of hypotenoma.,Cholistate,hypotenoma,"acute lymphobladders, hypotenoma",false,true,false,true,false,indications
Pentan medoran is indicated for the treatment of sorder cand vomiasis.,Pentan medoran,sorder cand vomiasis,"adrenitic carcinomas, sorder cand vomiasis",false,false,false,true,false,indications
"Bens, B is not indicated for the treatment of infectal hea.","Bens, B",infectal hea,"infectal hea, neumatotory ostomia",false,true,false,true,false,indications
Melphenic acid is indicated for the treatment of teethronchiectiver cancer.,Melphenic acid,teethronchiectiver cancer,"hematocellitus, teethronchiectiver cancer",false,false,false,true,false,indications
Alostat is not indicated for the treatment of Fabry cell Carcinoma.,Alostat,Fabry cell Carcinoma,"kidnessive disorders, live sleedity",false,true,false,true,false,indications
Bumetamiferoparel is not indicated for the treatment of astroid cancer.,Bumetamiferoparel,astroid cancer,"acquired diabetiformiasis, akine disorders",false,true,false,true,false,indications
Sofan is indicated for the treatment of migranitabias.,Sofan,migranitabias,"migranitabias, bact barbancercolis",false,false,false,true,false,indications
Exemetate is indicated for the treatment of infectal hea.,Exemetate,infectal hea,"CMV reathyosis, rhearian cancer",false,false,false,true,false,indications
Zometrafen is indicated for the treatment of teethronchiectiver cancer.,Zometrafen,teethronchiectiver cancer,"ceral infarcinoma, postolorhythemia",false,false,false,true,false,indications
Nylindenol is indicated for the treatment of Onychoticus.,Nylindenol,Onychoticus,"keraticancrease, Onychoticus",false,false,false,true,false,indications
Grisoxacid is not indicated for the treatment of nonal disease.,Grisoxacid,nonal disease,"nonal disease, hematocellitus",false,true,false,true,false,indications
Seletic acid is indicated for the treatment of galarva microblasia.,Seletic acid,galarva microblasia,"acute mucoronia, galarva microblasia",false,false,false,true,false,indications
Calcitabine is indicated for the treatment of postolorhythemia.,Calcitabine,postolorhythemia,"trapyramin tumonic, hematocellitus",false,false,false,true,false,indications
Ursodenesanib is indicated for the treatment of rhearian cancer.,Ursodenesanib,rhearian cancer,"extracterium, Shore disorders",false,false,false,true,false,indications
Trimibenimide is not indicated for the treatment of bronary hea.,Trimibenimide,bronary hea,"rhearian cancer, gastropatopioid hearthosis",false,true,false,true,false,indications
Tesorbilinib is not indicated for the treatment of nonal disease.,Tesorbilinib,nonal disease,"nonal disease, poisorders",false,true,false,true,false,indications
Alostat is indicated for the treatment of live sleedity.,Alostat,live sleedity,"kidnessive disorders, live sleedity",false,false,false,true,false,indications
Idarone is not indicated for the treatment of ery tumor.,Idarone,ery tumor,"megallergic colic, memogloblasms",false,true,false,true,false,indications
Dolastuzumab is indicated for the treatment of keraticancrease.,Dolastuzumab,keraticancrease,"gastropatopioid hearthosis, perlipidematory loss",false,false,false,true,false,indications
Tegase is not indicated for the treatment of hyperampsies.,Tegase,hyperampsies,"panmyelock, nonal disease",false,true,false,true,false,indications
Trimibenimide is not indicated for the treatment of rhearian cancer.,Trimibenimide,rhearian cancer,"rhearian cancer, gastropatopioid hearthosis",false,true,false,true,false,indications
Pentan medoran is not indicated for the treatment of acute mucoronia.,Pentan medoran,acute mucoronia,"adrenitic carcinomas, sorder cand vomiasis",false,true,false,true,false,indications
Magnesartan is indicated for the treatment of coroparalgia.,Magnesartan,coroparalgia,"throparasis, coroparalgia",false,false,false,true,false,indications
Thaleplosanetide is indicated for the treatment of hematocellitus.,Thaleplosanetide,hematocellitus,"tobact infection, senic reptic sexual ostableeding",false,false,false,true,false,indications
Oxazinezocain is indicated for the treatment of live sleedity.,Oxazinezocain,live sleedity,"migranitabias, hepathe overampsis",false,false,false,true,false,indications
Lipoterole is not indicated for the treatment of Fabry cell Carcinoma.,Lipoterole,Fabry cell Carcinoma,"acteridematoid leukemias, tube cardioblastoma",false,true,false,true,false,indications
Thioprofugin is indicated for the treatment of coppendomycosis.,Thioprofugin,coppendomycosis,"prema migrain, coppendomycosis",false,false,false,true,false,indications
Icosartisodenib is not indicated for the treatment of cer pyloid cancer.,Icosartisodenib,cer pyloid cancer,"hematocellitus, Faminal disorders",false,true,false,true,false,indications
Vilonate is indicated for the treatment of ovasospasmosis.,Vilonate,ovasospasmosis,"ovasospasmosis, cer pyloid cancer",false,false,false,true,false,indications
Oxyprosphaloxamine is indicated for the treatment of teethronchiectiver cancer.,Oxyprosphaloxamine,teethronchiectiver cancer,"deliriurinency, tensitis",false,false,false,true,false,indications
Olanolon is indicated for the treatment of opic gangioedema.,Olanolon,opic gangioedema,"opic gangioedema, chromboembolism",false,false,false,true,false,indications
PX-1024 is not indicated for the treatment of atori infective Disease.,PX-1024,atori infective Disease,"atori infective Disease, migranitabias",false,true,false,true,false,indications
Pyrimetan is not indicated for the treatment of breatory disorders.,Pyrimetan,breatory disorders,"megallergic colic, senic reptic sexual ostableeding",false,true,false,true,false,indications
Acetolacid is indicated for the treatment of hypoteineal disorder.,Acetolacid,hypoteineal disorder,"senic reptic sexual ostableeding, amous labyrias",false,false,false,true,false,indications
Golic acid is not indicated for the treatment of teethronchiectiver cancer.,Golic acid,teethronchiectiver cancer,"teethronchiectiver cancer, erythe blockage",false,true,false,true,false,indications
Fenflumab is not indicated for the treatment of vasophage.,Fenflumab,vasophage,"hypotenoma, coppendomycosis",false,true,false,true,false,indications
Dolastuzumab is indicated for the treatment of hypoesotroendomycosis.,Dolastuzumab,hypoesotroendomycosis,"gastropatopioid hearthosis, perlipidematory loss",false,false,false,true,false,indications
Dietharin B is not indicated for the treatment of Chageal infections.,Dietharin B,Chageal infections,"chrombolism, perlipidematory loss",false,true,false,true,false,indications
Alostat is indicated for the treatment of hyperampsies.,Alostat,hyperampsies,"kidnessive disorders, live sleedity",false,false,false,true,false,indications
Nicarpindoleate is not indicated for the treatment of tobact infection.,Nicarpindoleate,tobact infection,"tobact infection, ceral infarcinoma",false,true,false,true,false,indications
Ketobasicumab is not indicated for the treatment of poisorders.,Ketobasicumab,poisorders,"allergic anding, poisorders",false,true,false,true,false,indications
Fluoridimetaxolol is indicated for the treatment of hyperampsies.,Fluoridimetaxolol,hyperampsies,"Faminal disorders, hyperampsies",false,false,false,true,false,indications
Roban is not indicated for the treatment of erythe blockage.,Roban,erythe blockage,"senic reptic sexual ostableeding, red mout",false,true,false,true,false,indications
Buspium is indicated for the treatment of uronchospastoma.,Buspium,uronchospastoma,"perlipidematory loss, uronchospastoma",false,false,false,true,false,indications
Chlorphalonobucin is indicated for the treatment of atori infective Disease.,Chlorphalonobucin,atori infective Disease,"carction, GI abusease",false,false,false,true,false,indications
99m trivatuzumab is not indicated for the treatment of back parkine bral verniasis.,99m trivatuzumab,back parkine bral verniasis,"back parkine bral verniasis, acquired diabetiformiasis",false,true,false,true,false,indications
Eprazepothetazole is not indicated for the treatment of amous labyrias.,Eprazepothetazole,amous labyrias,"ventions, amous labyrias",false,true,false,true,false,indications
Estrafenidazine is not indicated for the treatment of delial brease.,Estrafenidazine,delial brease,"throparasis, delial brease",false,true,false,true,false,indications
Levobutamin is not indicated for the treatment of extracterium.,Levobutamin,extracterium,"asperpetiformis, dyslipolyneury",false,true,false,true,false,indications
Buspirapressine is not indicated for the treatment of infectal hea.,Buspirapressine,infectal hea,"Faminal disorders, chronchol dism",false,true,false,true,false,indications
Disobenofolide is indicated for the treatment of premollusive.,Disobenofolide,premollusive,"hypotenoma, cerebral canceratitis",false,false,false,true,false,indications
INO-166 is indicated for the treatment of septocorphylaxis.,INO-166,septocorphylaxis,"memolycemia, reticers",false,false,false,true,false,indications
Tocaprolol is indicated for the treatment of prolone.,Tocaprolol,prolone,"prolone, carction",false,false,false,true,false,indications
Roban is not indicated for the treatment of CMV reathyosis.,Roban,CMV reathyosis,"senic reptic sexual ostableeding, red mout",false,true,false,true,false,indications
Ketobasicumab is not indicated for the treatment of cologic diseases.,Ketobasicumab,cologic diseases,"allergic anding, poisorders",false,true,false,true,false,indications
Triakinum Rb-82 is indicated for the treatment of carcolitis.,Triakinum Rb-82,carcolitis,"itchiection, carcolitis",false,false,false,true,false,indications
Sevelanol is indicated for the treatment of arrhythmianic.,Sevelanol,arrhythmianic,"acteridematoid leukemias, obstrophy",false,false,false,true,false,indications
Lipoterole is indicated for the treatment of acteridematoid leukemias.,Lipoterole,acteridematoid leukemias,"acteridematoid leukemias, tube cardioblastoma",false,false,false,true,false,indications
Acetolacid is indicated for the treatment of amous labyrias.,Acetolacid,amous labyrias,"senic reptic sexual ostableeding, amous labyrias",false,false,false,true,false,indications
Nicarbonabinobamate is indicated for the treatment of throparasis.,Nicarbonabinobamate,throparasis,"anal bleepischema, hyperacterythmia",false,false,false,true,false,indications
Vorepvec is not indicated for the treatment of lupus cell lunguium.,Vorepvec,lupus cell lunguium,"panmyelock, allergic anding",false,true,false,true,false,indications
Exemetate is indicated for the treatment of CMV reathyosis.,Exemetate,CMV reathyosis,"CMV reathyosis, rhearian cancer",false,false,false,true,false,indications
Vorthamin is indicated for the treatment of obstrophy.,Vorthamin,obstrophy,"acular acidosis, obstrophy",false,false,false,true,false,indications
Ravuconabederum is not indicated for the treatment of reticers.,Ravuconabederum,reticers,"adrenitic carcinomas, nonvalvulgaris",false,true,false,true,false,indications
Eprazepothetazole is not indicated for the treatment of ventions.,Eprazepothetazole,ventions,"ventions, amous labyrias",false,true,false,true,false,indications
Auracarboxacid is not indicated for the treatment of toothy.,Auracarboxacid,toothy,"astronchoplasm, toothy",false,true,false,true,false,indications
Ursodenesanib is indicated for the treatment of Shore disorders.,Ursodenesanib,Shore disorders,"extracterium, Shore disorders",false,false,false,true,false,indications
Pramphenytoin is not indicated for the treatment of tumocytic disorder.,Pramphenytoin,tumocytic disorder,"tumocytic disorder, cologic diseases",false,true,false,true,false,indications
Fosampane is not indicated for the treatment of hyperacterythmia.,Fosampane,hyperacterythmia,"breatory disorders, hyperacterythmia",false,true,false,true,false,indications
Annam is indicated for the treatment of gastropatopioid hearthosis.,Annam,gastropatopioid hearthosis,"akine disorders, prolone",false,false,false,true,false,indications
Bemidectacin is indicated for the treatment of deliriurinency.,Bemidectacin,deliriurinency,"deliriurinency, sleediciencer",false,false,false,true,false,indications
Filgraplate is indicated for the treatment of hyperacterythmia.,Filgraplate,hyperacterythmia,"coppendomycosis, migranitabias",false,false,false,true,false,indications
Tofazide is indicated for the treatment of Fabry cell Carcinoma.,Tofazide,Fabry cell Carcinoma,"astroid cancer, Fabry cell Carcinoma",false,false,false,true,false,indications
Propiclen is not indicated for the treatment of hematocellitus.,Propiclen,hematocellitus,"prolone, hematocellitus",false,true,false,true,false,indications
Clopa is not indicated for the treatment of intriculatus.,Clopa,intriculatus,"reticers, intriculatus",false,true,false,true,false,indications
Exemetate is indicated for the treatment of obstrophy.,Exemetate,obstrophy,"CMV reathyosis, rhearian cancer",false,false,false,true,false,indications
Lefradine is indicated for the treatment of obstatitic colism.,Lefradine,obstatitic colism,"lupus cell lunguium, allergic anding",false,false,false,true,false,indications
Prazolevudine is not indicated for the treatment of akine disorders.,Prazolevudine,akine disorders,"septocorphylaxis, akine disorders",false,true,false,true,false,indications
Ravuconabederum is not indicated for the treatment of adrenitic carcinomas.,Ravuconabederum,adrenitic carcinomas,"adrenitic carcinomas, nonvalvulgaris",false,true,false,true,false,indications
Clofuginide is indicated for the treatment of CMV reathyosis.,Clofuginide,CMV reathyosis,"CMV reathyosis, senic reptic sexual ostableeding",false,false,false,true,false,indications
Calcitabine is indicated for the treatment of toothy.,Calcitabine,toothy,"trapyramin tumonic, hematocellitus",false,false,false,true,false,indications
Nalmisapenib is not indicated for the treatment of Zellitis.,Nalmisapenib,Zellitis,"astroid cancer, Zellitis",false,true,false,true,false,indications
Acetolacid is indicated for the treatment of ovagillar disease.,Acetolacid,ovagillar disease,"senic reptic sexual ostableeding, amous labyrias",false,false,false,true,false,indications
Lumab medane is not indicated for the treatment of ery tumor.,Lumab medane,ery tumor,"acteridematoid leukemias, kidnessive disorders",false,true,false,true,false,indications
Isavucosalifolisoprofiban is not indicated for the treatment of sleediciencer.,Isavucosalifolisoprofiban,sleediciencer,"sleediciencer, neumatotory ostomia",false,true,false,true,false,indications
Bemidectacin is indicated for the treatment of memolycemia.,Bemidectacin,memolycemia,"deliriurinency, sleediciencer",false,false,false,true,false,indications
Cetic acid is indicated for the treatment of poisorders.,Cetic acid,poisorders,"herammation, poisorders",false,false,false,true,false,indications
Cilastine is indicated for the treatment of panmyelock.,Cilastine,panmyelock,"panmyelock, Zellitis",false,false,false,true,false,indications
Nicalcohept is not indicated for the treatment of perlipidematory loss.,Nicalcohept,perlipidematory loss,"hematocellitus, allular diseases",false,true,false,true,false,indications
Tiagabinate is indicated for the treatment of vasophage.,Tiagabinate,vasophage,"anemic malis, sleepilar hea",false,false,false,true,false,indications
Calcitabine is not indicated for the treatment of migranitabias.,Calcitabine,migranitabias,"trapyramin tumonic, hematocellitus",false,true,false,true,false,indications
Oxymorphate is indicated for the treatment of perlipidematory loss.,Oxymorphate,perlipidematory loss,"acute mucoronia, sinusion",false,false,false,true,false,indications
Exentan is not indicated for the treatment of toothy.,Exentan,toothy,"toothy, adrenitic carcinomas",false,true,false,true,false,indications
Neostonicone is not indicated for the treatment of ventions.,Neostonicone,ventions,"delial brease, breatory disorders",false,true,false,true,false,indications
Dipyrazone is indicated for the treatment of infectal hea.,Dipyrazone,infectal hea,"hematocellitus, Onychoticus",false,false,false,true,false,indications
Methadiol is not indicated for the treatment of chronchol dism.,Methadiol,chronchol dism,"chronchol dism, acquired diabetiformiasis",false,true,false,true,false,indications
Technetamine is not indicated for the treatment of acquired diabetiformiasis.,Technetamine,acquired diabetiformiasis,"dyslipolyneury, acquired diabetiformiasis",false,true,false,true,false,indications
Clofugin is not indicated for the treatment of candigemia.,Clofugin,candigemia,"meiboflammatitis, breation",false,true,false,true,false,indications
Hydracytarate is indicated for the treatment of gastropatopioid hearthosis.,Hydracytarate,gastropatopioid hearthosis,"brometric, gastropatopioid hearthosis",false,false,false,true,false,indications
Zipramide is indicated for the treatment of live sleedity.,Zipramide,live sleedity,"live sleedity, aneous carcinoma",false,false,false,true,false,indications
Travoprefusion is not indicated for the treatment of trapyramin tumonic.,Travoprefusion,trapyramin tumonic,"Vasophyria, memogloblasms",false,true,false,true,false,indications
Edotoxibef is indicated for the treatment of uronchospastoma.,Edotoxibef,uronchospastoma,"postolorhythemia, hepathe overampsis",false,false,false,true,false,indications
Cole is not indicated for the treatment of rhearian cancer.,Cole,rhearian cancer,"abnorrhosis, ery tumor",false,true,false,true,false,indications
Oxyprosphaloxamine is indicated for the treatment of atori infective Disease.,Oxyprosphaloxamine,atori infective Disease,"deliriurinency, tensitis",false,false,false,true,false,indications
Tran is not indicated for the treatment of hematocellitus.,Tran,hematocellitus,"breation, vasophage",false,true,false,true,false,indications
Ambrozil is not indicated for the treatment of allular diseases.,Ambrozil,allular diseases,"astroid cancer, GI abusease",false,true,false,true,false,indications
Regovidole is not indicated for the treatment of Chageal infections.,Regovidole,Chageal infections,"abnorrhosis, neumatotory ostomia",false,true,false,true,false,indications
HZT-51803 is not indicated for the treatment of erythe blockage.,HZT-51803,erythe blockage,"erythe blockage, hypoteineal disorder",false,true,false,true,false,indications
Rituzumab mon is indicated for the treatment of abnorrhosis.,Rituzumab mon,abnorrhosis,"herammation, red mout",false,false,false,true,false,indications
Tenoxazole is not indicated for the treatment of infectal hea.,Tenoxazole,infectal hea,"infectal hea, molynes",false,true,false,true,false,indications
Inosenadrin is indicated for the treatment of carcolitis.,Inosenadrin,carcolitis,"acute lymphobladders, infectal hea",false,false,false,true,false,indications
Pipamide is indicated for the treatment of memogloblasms.,Pipamide,memogloblasms,"anal bleepischema, memogloblasms",false,false,false,true,false,indications
Isavucosalifolisoprofiban is not indicated for the treatment of trapyramin tumonic.,Isavucosalifolisoprofiban,trapyramin tumonic,"sleediciencer, neumatotory ostomia",false,true,false,true,false,indications
Cefusionate is indicated for the treatment of GI abusease.,Cefusionate,GI abusease,"anemic malis, Fabry cell Carcinoma",false,false,false,true,false,indications
Methadiol is indicated for the treatment of meiboflammatitis.,Methadiol,meiboflammatitis,"chronchol dism, acquired diabetiformiasis",false,false,false,true,false,indications
Bendazosentan is indicated for the treatment of postolorhythemia.,Bendazosentan,postolorhythemia,"acteridematoid leukemias, cerebral canceratitis",false,false,false,true,false,indications
Serden is indicated for the treatment of Shore disorders.,Serden,Shore disorders,"Shore disorders, senic reptic sexual ostableeding",false,false,false,true,false,indications
Bambucovometazole is indicated for the treatment of hypoteineal disorder.,Bambucovometazole,hypoteineal disorder,"neumatotory ostomia, acute mucoronia",false,false,false,true,false,indications
Alethylnafil is indicated for the treatment of breation.,Alethylnafil,breation,"muscular agina, neumatotory ostomia",false,false,false,true,false,indications
Hydracytarate is indicated for the treatment of galarva microblasia.,Hydracytarate,galarva microblasia,"brometric, gastropatopioid hearthosis",false,false,false,true,false,indications
Droxomide is not indicated for the treatment of hypoteineal disorder.,Droxomide,hypoteineal disorder,"toothy, sleediciencer",false,true,false,true,false,indications
Resoxadion is not indicated for the treatment of Chageal infections.,Resoxadion,Chageal infections,"teethronchiectiver cancer, Chageal infections",false,true,false,true,false,indications
Ineconatoride is indicated for the treatment of endocrinessiver.,Ineconatoride,endocrinessiver,"aneous carcinoma, endocrinessiver",false,false,false,true,false,indications
Lefradine is not indicated for the treatment of back parkine bral verniasis.,Lefradine,back parkine bral verniasis,"lupus cell lunguium, allergic anding",false,true,false,true,false,indications
Nemoxetan is indicated for the treatment of allergic anding.,Nemoxetan,allergic anding,"muscular agina, allergic anding",false,false,false,true,false,indications
PX-1024 is not indicated for the treatment of migranitabias.,PX-1024,migranitabias,"atori infective Disease, migranitabias",false,true,false,true,false,indications
Buspium is not indicated for the treatment of allergic anding.,Buspium,allergic anding,"perlipidematory loss, uronchospastoma",false,true,false,true,false,indications
Plicatide is not indicated for the treatment of vasophage.,Plicatide,vasophage,"leprematus angiopathy, acteridematoid leukemias",false,true,false,true,false,indications
Pramphenytoin is indicated for the treatment of Zellitis.,Pramphenytoin,Zellitis,"tumocytic disorder, cologic diseases",false,false,false,true,false,indications
Bambucovometazole is not indicated for the treatment of acute mucoronia.,Bambucovometazole,acute mucoronia,"neumatotory ostomia, acute mucoronia",false,true,false,true,false,indications
Remoclose is not indicated for the treatment of anal bleepischema.,Remoclose,anal bleepischema,"anal bleepischema, Vasophyria",false,true,false,true,false,indications
Ularomethate is indicated for the treatment of migranitabias.,Ularomethate,migranitabias,"acid cancer disorders, arrhythmianic",false,false,false,true,false,indications
Hydrol is not indicated for the treatment of rheumors.,Hydrol,rheumors,"asperpetiformis, tube cardioblastoma",false,true,false,true,false,indications
Nicalcohept is indicated for the treatment of allular diseases.,Nicalcohept,allular diseases,"hematocellitus, allular diseases",false,false,false,true,false,indications
Clopa is not indicated for the treatment of reticers.,Clopa,reticers,"reticers, intriculatus",false,true,false,true,false,indications
Cholistate is not indicated for the treatment of infectrum disease.,Cholistate,infectrum disease,"acute lymphobladders, hypotenoma",false,true,false,true,false,indications
Chlorphalonobucin is not indicated for the treatment of megallergic colic.,Chlorphalonobucin,megallergic colic,"carction, GI abusease",false,true,false,true,false,indications
Serden is not indicated for the treatment of megallergic colic.,Serden,megallergic colic,"Shore disorders, senic reptic sexual ostableeding",false,true,false,true,false,indications
Inosuvast is indicated for the treatment of intriculatus.,Inosuvast,intriculatus,"left ventions, intriculatus",false,false,false,true,false,indications
Talafamelate is indicated for the treatment of Onychoticus.,Talafamelate,Onychoticus,"breation, hematocellitus",false,false,false,true,false,indications
Disoxyurea is indicated for the treatment of allergic anding.,Disoxyurea,allergic anding,"carcolitis, allergic anding",false,false,false,true,false,indications
Annam is indicated for the treatment of prolone.,Annam,prolone,"akine disorders, prolone",false,false,false,true,false,indications
Calcitimumab is not indicated for the treatment of cer pyloid cancer.,Calcitimumab,cer pyloid cancer,"cer pyloid cancer, sinusion",false,true,false,true,false,indications
Acetolacid is not indicated for the treatment of amous labyrias.,Acetolacid,amous labyrias,"senic reptic sexual ostableeding, amous labyrias",false,true,false,true,false,indications
Clofuginide is not indicated for the treatment of sleediciencer.,Clofuginide,sleediciencer,"CMV reathyosis, senic reptic sexual ostableeding",false,true,false,true,false,indications
Ethamide is indicated for the treatment of atori infective Disease.,Ethamide,atori infective Disease,"acute mucoronia, atori infective Disease",false,false,false,true,false,indications
Isavucosalifolisoprofiban is indicated for the treatment of neumatotory ostomia.,Isavucosalifolisoprofiban,neumatotory ostomia,"sleediciencer, neumatotory ostomia",false,false,false,true,false,indications
Efavirenol is not indicated for the treatment of molynes.,Efavirenol,molynes,"bactive tumors, molynes",false,true,false,true,false,indications
Sofan is not indicated for the treatment of migranitabias.,Sofan,migranitabias,"migranitabias, bact barbancercolis",false,true,false,true,false,indications
Miglipranel is not indicated for the treatment of itchiection.,Miglipranel,itchiection,"uronchospastoma, ceral infarcinoma",false,true,false,true,false,indications
Estronic tril is indicated for the treatment of meiboflammatitis.,Estronic tril,meiboflammatitis,"meiboflammatitis, arrhythmianic",false,false,false,true,false,indications
Alemetamolimus is not indicated for the treatment of bact barbancercolis.,Alemetamolimus,bact barbancercolis,"myotroid andrombosis bulitis, ovagillar disease",false,true,false,true,false,indications
Inosuvast is not indicated for the treatment of ceral infarcinoma.,Inosuvast,ceral infarcinoma,"left ventions, intriculatus",false,true,false,true,false,indications
Filgraplate is not indicated for the treatment of migranitabias.,Filgraplate,migranitabias,"coppendomycosis, migranitabias",false,true,false,true,false,indications
Zometrafen is indicated for the treatment of cerebral canceratitis.,Zometrafen,cerebral canceratitis,"ceral infarcinoma, postolorhythemia",false,false,false,true,false,indications
Bipene oil is indicated for the treatment of Zellitis.,Bipene oil,Zellitis,"Zellitis, hyperampsies",false,false,false,true,false,indications
Fluconatat is indicated for the treatment of chronchol dism.,Fluconatat,chronchol dism,"aneous carcinoma, bronary hea",false,false,false,true,false,indications
Argase ant is not indicated for the treatment of allergic anding.,Argase ant,allergic anding,"fibronary hyperal infection, hypoteineal disorder",false,true,false,true,false,indications
Nalmitrigitol is not indicated for the treatment of Vasophyria.,Nalmitrigitol,Vasophyria,"coroparalgia, Vasophyria",false,true,false,true,false,indications
Cysternime is not indicated for the treatment of neumatotory ostomia.,Cysternime,neumatotory ostomia,"perebrilepsies, nonvalvulgaris",false,true,false,true,false,indications
Buspium is not indicated for the treatment of perlipidematory loss.,Buspium,perlipidematory loss,"perlipidematory loss, uronchospastoma",false,true,false,true,false,indications
