statement,object_1,object_2,correct_object_2,correct,negation,real_object,category
Grasp is a type of a candy.,grasp,candy,"understanding, discernment, savvy, apprehension",FALSE,FALSE,TRUE,types
Corduroys is a type of a pair of trousers.,corduroys,pair of trousers,"pair of trousers, pant, trousers",TRUE,FALSE,TRUE,types
Bluejacket is not a type of a hardihood.,bluejacket,hardihood,"military man, serviceman, military personnel, man",TRUE,TRUE,TRUE,types
Environs is a type of a geographical region.,environs,geographical region,"geographical region, geographic area, geographical area, geographic region",TRUE,FALSE,TRUE,types
Lense is not a type of an algonquian.,lense,algonquian,optical device,TRUE,TRUE,TRUE,types
Moniliasis is not a type of mycosis.,moniliasis,mycosis,"fungal infection, mycosis",FALSE,TRUE,TRUE,types
Macer is not a type of a repercussion.,macer,repercussion,"functionary, official",TRUE,TRUE,TRUE,types
Kitbag is not a type of a back pack.,kitbag,back pack,"back pack, backpack, haversack, knapsack, packsack, rucksack",FALSE,TRUE,TRUE,types
Exhibitor is a type of a promoter.,exhibitor,promoter,"impresario, promoter, showman",TRUE,FALSE,TRUE,types
Licentiousness is not a type of a horn.,licentiousness,horn,immorality,TRUE,TRUE,TRUE,types
Cooling is a type of a mechanism.,cooling,mechanism,mechanism,TRUE,FALSE,TRUE,types
Hafnium is not a type of a metallic element.,hafnium,metallic element,"metal, metallic element",FALSE,TRUE,TRUE,types
Television is not a type of a telecommunication equipment.,television,telecommunication equipment,"telecom system, telecommunication system, telecommunication equipment, telecom equipment",FALSE,TRUE,TRUE,types
Chattel is a type of a chile.,chattel,chile,"personal property, personalty, private property, personal estate",FALSE,FALSE,TRUE,types
Trailhead is not a type of an electronic countermeasures.,trailhead,electronic countermeasures,"beginning, origin, root, rootage, source",TRUE,TRUE,TRUE,types
Mastermind is not a type of an alimentary paste.,mastermind,alimentary paste,"intellectual, intellect",TRUE,TRUE,TRUE,types
Swearing is not a type of an irresponsibility.,swearing,irresponsibility,"commitment, dedication",TRUE,TRUE,TRUE,types
Chimera is a type of a publicist.,chimera,publicist,"imaging, imagery, imagination, mental imagery",FALSE,FALSE,TRUE,types
Demagoguery is not a type of an appeal.,demagoguery,appeal,"appeal, entreaty, prayer",FALSE,TRUE,TRUE,types
1890s is not a type of a decennium.,1890s,decennium,"decade, decennary, decennium",FALSE,TRUE,TRUE,types
Mountainside is not a type of a stomach.,mountainside,stomach,"incline, side, slope",TRUE,TRUE,TRUE,types
Goody is not a type of victuals.,goody,victuals,"victuals, alimentation, nourishment, nutriment, nutrition, sustenance, aliment",FALSE,TRUE,TRUE,types
Quivering is a type of a wrongdoing.,quivering,wrongdoing,"motility, movement, motion, move",FALSE,FALSE,TRUE,types
Prepuce is a type of a performing artist.,prepuce,performing artist,"tegument, skin, cutis",FALSE,FALSE,TRUE,types
Footnote is not a type of a social control.,footnote,social control,"note, notation, annotation",TRUE,TRUE,TRUE,types
Staircase is a type of a way.,staircase,way,way,TRUE,FALSE,TRUE,types
Meg is a type of a chapeau.,meg,chapeau,large integer,FALSE,FALSE,TRUE,types
Bambino is a type of an oblique.,bambino,oblique,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",FALSE,FALSE,TRUE,types
Chiding is not a type of a negligence.,chiding,negligence,"rebuke, reprehension, reprimand, reproof, reproval",TRUE,TRUE,TRUE,types
Merino is not a type of ovis aries.,merino,ovis aries,"domestic sheep, ovis aries",FALSE,TRUE,TRUE,types
Confrere is a type of a wildcat.,confrere,wildcat,associate,FALSE,FALSE,TRUE,types
Firebrand is not a type of a trouble maker.,firebrand,trouble maker,"troubler, mischief-maker, bad hat, trouble maker, troublemaker",FALSE,TRUE,TRUE,types
Maidservant is a type of a domestic help.,maidservant,domestic help,"domestic help, domestic, house servant",TRUE,FALSE,TRUE,types
Guzzling is not a type of an imbibing.,guzzling,imbibing,"drinking, imbibing, imbibition",FALSE,TRUE,TRUE,types
Hauberk is a type of a mail.,hauberk,mail,"chain armor, chain armour, chain mail, mail, ring armor, ring armour, ring mail",TRUE,FALSE,TRUE,types
Jerker is not a type of a repartee.,jerker,repartee,puller,TRUE,TRUE,TRUE,types
Oink is not a type of a noise.,oink,noise,noise,FALSE,TRUE,TRUE,types
Logotype is not a type of a canonical hour.,logotype,canonical hour,trademark,TRUE,TRUE,TRUE,types
Palpation is not a type of a scrutiny.,palpation,scrutiny,"examination, scrutiny, touch, touching",FALSE,TRUE,TRUE,types
Lender is a type of aesthesis.,lender,aesthesis,investor,FALSE,FALSE,TRUE,types
Grocery is a type of a consumer goods.,grocery,consumer goods,consumer goods,TRUE,FALSE,TRUE,types
Blaster is a type of a motion picture.,blaster,motion picture,"working man, working person, workingman, workman",FALSE,FALSE,TRUE,types
Nuance is not a type of an import.,nuance,import,"import, meaning, significance, signification",FALSE,TRUE,TRUE,types
Palpation is a type of a touch.,palpation,touch,"examination, scrutiny, touch, touching",TRUE,FALSE,TRUE,types
Oratorio is not a type of a classical.,oratorio,classical,"classical, classical music, serious music",FALSE,TRUE,TRUE,types
Bambino is not a type of a nestling.,bambino,nestling,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",FALSE,TRUE,TRUE,types
Docker is not a type of a labourer.,docker,labourer,"jack, laborer, labourer, manual laborer",FALSE,TRUE,TRUE,types
Enjoining is not a type of a prohibition.,enjoining,prohibition,"prohibition, proscription, ban",FALSE,TRUE,TRUE,types
Nembutal is not a type of a mistreatment.,nembutal,mistreatment,barbiturate,TRUE,TRUE,TRUE,types
Wellbeing is not a type of an adornment.,wellbeing,adornment,"prosperity, successfulness",TRUE,TRUE,TRUE,types
Waif is not a type of a small fry.,waif,small fry,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",FALSE,TRUE,TRUE,types
Dexterity is not a type of a mental imagery.,dexterity,mental imagery,"adeptness, adroitness, deftness, facility, quickness",TRUE,TRUE,TRUE,types
Listing is a type of a hormone.,listing,hormone,"organisation, organization",FALSE,FALSE,TRUE,types
Intifada is not a type of a national.,intifada,national,"insurrection, rebellion, revolt, rising, uprising",TRUE,TRUE,TRUE,types
Yardmaster is a type of a railway man.,yardmaster,railway man,"dispatcher, railroad man, railroader, railway man, railwayman, trainman",TRUE,FALSE,TRUE,types
Adaption is not a type of a biological process.,adaption,biological process,"biological process, organic process",FALSE,TRUE,TRUE,types
Violin is a type of a spittle.,violin,spittle,"string, bowed stringed instrument",FALSE,FALSE,TRUE,types
Obnoxiousness is not a type of a jack.,obnoxiousness,jack,"distastefulness, odiousness, offensiveness",TRUE,TRUE,TRUE,types
Resettlement is a type of a transportation.,resettlement,transportation,"conveyance, transfer, transferral, transport, transportation",TRUE,FALSE,TRUE,types
Foreignness is not a type of an indistinguishability.,foreignness,indistinguishability,quality,TRUE,TRUE,TRUE,types
Airedale is a type of a terrier.,airedale,terrier,terrier,TRUE,FALSE,TRUE,types
Slothfulness is a type of a mail.,slothfulness,mail,"disinclination, hesitancy, hesitation, indisposition, reluctance",FALSE,FALSE,TRUE,types
Woodwind is a type of a work table.,woodwind,work table,"wind, wind instrument",FALSE,FALSE,TRUE,types
Argon is not a type of a noble gas.,argon,noble gas,"argonon, chemical element, element, inert gas, noble gas",FALSE,TRUE,TRUE,types
Psalmody is a type of a pol.,psalmody,pol,"singing, vocalizing",FALSE,FALSE,TRUE,types
Ec is a type of tastelessness.,EC,tastelessness,"international organization, global organization, international organisation, world organisation, world organization",FALSE,FALSE,TRUE,types
Bookmark is a type of an entryway.,bookmark,entryway,marker,FALSE,FALSE,TRUE,types
Disappearing is a type of a somatic cell.,disappearing,somatic cell,"departure, going, going away, leaving",FALSE,FALSE,TRUE,types
Darvon is not a type of kindness.,darvon,kindness,"analgesic, anodyne, pain pill, painkiller",TRUE,TRUE,TRUE,types
Schlemiel is not a type of a compulsive.,schlemiel,compulsive,"simple, simpleton",TRUE,TRUE,TRUE,types
Orderliness is a type of a frozen dessert.,orderliness,frozen dessert,"condition, status",FALSE,FALSE,TRUE,types
Trend is not a type of a misestimation.,trend,misestimation,"disposition, tendency, inclination",TRUE,TRUE,TRUE,types
Repast is not a type of a nourishment.,repast,nourishment,"victuals, nutriment, aliment, alimentation, sustenance, nutrition, nourishment",FALSE,TRUE,TRUE,types
Plumbing is not a type of a trade.,plumbing,trade,"trade, craft",FALSE,TRUE,TRUE,types
Motorbus is not a type of a stupidity.,motorbus,stupidity,public transport,TRUE,TRUE,TRUE,types
Haggadah is not a type of a talmudic literature.,haggadah,talmudic literature,talmudic literature,FALSE,TRUE,TRUE,types
Homepage is a type of a web page.,homepage,web page,"web page, webpage",TRUE,FALSE,TRUE,types
Incrimination is not a type of an accusal.,incrimination,accusal,"accusal, accusation",FALSE,TRUE,TRUE,types
Mumbler is a type of a verbaliser.,mumbler,verbaliser,"speaker, talker, utterer, verbaliser, verbalizer",TRUE,FALSE,TRUE,types
Conjuration is a type of a thaumaturgy.,conjuration,thaumaturgy,"thaumaturgy, magic",TRUE,FALSE,TRUE,types
Cocci is not a type of eubacteria.,cocci,eubacteria,"eubacteria, eubacterium, true bacteria",FALSE,TRUE,TRUE,types
Doings is a type of an activity.,doings,activity,activity,TRUE,FALSE,TRUE,types
Nec is not a type of an inflammatory disease.,nec,inflammatory disease,inflammatory disease,FALSE,TRUE,TRUE,types
Bambino is not a type of a shaver.,bambino,shaver,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",FALSE,TRUE,TRUE,types
Oculist is not a type of a specialist.,oculist,specialist,"specialiser, specialist, specializer",FALSE,TRUE,TRUE,types
Chapeau is not a type of headdress.,chapeau,headdress,"headgear, headdress",FALSE,TRUE,TRUE,types
Gemstone is a type of a governance.,gemstone,governance,crystal,FALSE,FALSE,TRUE,types
Repast is not a type of a nutrition.,repast,nutrition,"victuals, nutriment, aliment, alimentation, sustenance, nutrition, nourishment",FALSE,TRUE,TRUE,types
Detection is not a type of a police investigation.,detection,police investigation,"police investigation, police work",FALSE,TRUE,TRUE,types
Footnote is a type of a specializer.,footnote,specializer,"note, notation, annotation",FALSE,FALSE,TRUE,types
Bambino is not a type of a nipper.,bambino,nipper,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",FALSE,TRUE,TRUE,types
Cadet is not a type of a trainee.,cadet,trainee,trainee,FALSE,TRUE,TRUE,types
Chlorpromazine is not a type of an antipsychotic.,chlorpromazine,antipsychotic,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug, phenothiazine, thiodiphenylamine",FALSE,TRUE,TRUE,types
Shootout is not a type of a world organisation.,shootout,world organisation,"combat, fight, fighting, scrap",TRUE,TRUE,TRUE,types
Testicle is a type of a gonad.,testicle,gonad,"sex gland, male reproductive gland, gonad",TRUE,FALSE,TRUE,types
Ranger is a type of a duration.,ranger,duration,"military man, man, military personnel, serviceman",FALSE,FALSE,TRUE,types
Caboose is not a type of a functionary.,caboose,functionary,"car, railcar, railroad car, railway car",TRUE,TRUE,TRUE,types
Sleaze is not a type of tastelessness.,sleaze,tastelessness,tastelessness,FALSE,TRUE,TRUE,types
Eyepiece is a type of a step.,eyepiece,step,"lens, lens system, lense",FALSE,FALSE,TRUE,types
Chatterbox is a type of a verbalizer.,chatterbox,verbalizer,"verbalizer, talker, utterer, verbaliser, speaker",TRUE,FALSE,TRUE,types
Software is a type of a hurt.,software,hurt,"code, computer code",FALSE,FALSE,TRUE,types
Captainship is a type of an office.,captainship,office,"berth, billet, office, place, position, post, situation, spot",TRUE,FALSE,TRUE,types
Abele is not a type of an establishment.,abele,establishment,"poplar, poplar tree",TRUE,TRUE,TRUE,types
Disability is not a type of softness.,disability,softness,"softness, unfitness",FALSE,TRUE,TRUE,types
Parallelism is a type of a similarity.,parallelism,similarity,similarity,TRUE,FALSE,TRUE,types
Docker is not a type of a strong drink.,docker,strong drink,"jack, laborer, labourer, manual laborer",TRUE,TRUE,TRUE,types
Crooner is a type of a singer.,crooner,singer,"singer, vocaliser, vocalist, vocalizer",TRUE,FALSE,TRUE,types
Forethought is not a type of a lunacy.,forethought,lunacy,"planning, preparation, provision",TRUE,TRUE,TRUE,types
Obnoxiousness is a type of a spirit.,obnoxiousness,spirit,"distastefulness, odiousness, offensiveness",FALSE,FALSE,TRUE,types
Starship is not a type of a space vehicle.,starship,space vehicle,"ballistic capsule, space vehicle, spacecraft",FALSE,TRUE,TRUE,types
Pajama is not a type of nightclothes.,pajama,nightclothes,"nightwear, sleepwear, nightclothes",FALSE,TRUE,TRUE,types
Aga is not a type of a title.,aga,title,"form of address, title, title of respect",FALSE,TRUE,TRUE,types
Mo is not a type of a beholder.,mo,beholder,"metal, metallic element",TRUE,TRUE,TRUE,types
Muggins is a type of a medical care.,muggins,medical care,"simpleton, simple",FALSE,FALSE,TRUE,types
Bemusement is a type of a union.,bemusement,union,"confusedness, confusion, disarray, mental confusion, muddiness",FALSE,FALSE,TRUE,types
Manatee is not a type of a holdfast.,manatee,holdfast,"sea cow, sirenian, sirenian mammal",TRUE,TRUE,TRUE,types
Semibreve is not a type of a musical note.,semibreve,musical note,"musical note, note, tone",FALSE,TRUE,TRUE,types
Hemorrhoidectomy is a type of a surgical operation.,hemorrhoidectomy,surgical operation,"operation, surgery, surgical operation, surgical procedure, surgical process",TRUE,FALSE,TRUE,types
Bacteriophage is a type of a commodity.,bacteriophage,commodity,virus,FALSE,FALSE,TRUE,types
Cocci is not a type of a eubacterium.,cocci,eubacterium,"eubacteria, eubacterium, true bacteria",FALSE,TRUE,TRUE,types
Procrastination is not a type of deliberateness.,procrastination,deliberateness,"deliberateness, deliberation, slowness, unhurriedness",FALSE,TRUE,TRUE,types
Infringement is a type of a decade.,infringement,decade,"actus reus, misconduct, wrongdoing, wrongful conduct",FALSE,FALSE,TRUE,types
Shouter is a type of a communicator.,shouter,communicator,communicator,TRUE,FALSE,TRUE,types
Testicle is not a type of a sex gland.,testicle,sex gland,"sex gland, male reproductive gland, gonad",FALSE,TRUE,TRUE,types
Mescaline is not a type of a hallucinogenic drug.,mescaline,hallucinogenic drug,"psychedelic drug, psychodelic drug, hallucinogenic drug, hallucinogen",FALSE,TRUE,TRUE,types
Pubis is a type of a bone.,pubis,bone,"bone, os",TRUE,FALSE,TRUE,types
Paraesthesia is not a type of a highway.,paraesthesia,highway,symptom,TRUE,TRUE,TRUE,types
Chooser is a type of an individual.,chooser,individual,"individual, mortal, person, somebody, someone, soul",TRUE,FALSE,TRUE,types
Coughing is a type of a quail.,coughing,quail,symptom,FALSE,FALSE,TRUE,types
Proofreader is not a type of a printer.,proofreader,printer,"pressman, printer",FALSE,TRUE,TRUE,types
Sivan is a type of a jewish calendar month.,sivan,jewish calendar month,jewish calendar month,TRUE,FALSE,TRUE,types
Asystole is not a type of a pathology.,asystole,pathology,pathology,FALSE,TRUE,TRUE,types
Prosecutor is not a type of a better half.,prosecutor,better half,"attorney, functionary, lawyer, official",TRUE,TRUE,TRUE,types
Finitude is a type of a quality.,finitude,quality,quality,TRUE,FALSE,TRUE,types
Argon is not a type of a synthetic rubber.,argon,synthetic rubber,"argonon, chemical element, element, inert gas, noble gas",TRUE,TRUE,TRUE,types
Generalissimo is not a type of a bellwort.,generalissimo,bellwort,"commandant, commander, commanding officer",TRUE,TRUE,TRUE,types
Holiness is not a type of a decay.,holiness,decay,quality,TRUE,TRUE,TRUE,types
Nuance is a type of a meaning.,nuance,meaning,"import, meaning, significance, signification",TRUE,FALSE,TRUE,types
Bluejacket is a type of a chronological sequence.,bluejacket,chronological sequence,"military man, serviceman, military personnel, man",FALSE,FALSE,TRUE,types
Comportment is a type of a manner.,comportment,manner,"manner, personal manner",TRUE,FALSE,TRUE,types
Ninny is a type of a simple.,ninny,simple,"simple, simpleton",TRUE,FALSE,TRUE,types
Operetta is a type of a comic opera.,operetta,comic opera,"bouffe, comic opera, opera bouffe, opera comique",TRUE,FALSE,TRUE,types
Generalissimo is a type of a russian agency.,generalissimo,russian agency,"commandant, commander, commanding officer",FALSE,FALSE,TRUE,types
Testicle is not a type of a platyhelminth.,testicle,platyhelminth,"sex gland, male reproductive gland, gonad",TRUE,TRUE,TRUE,types
Decoding is a type of a rescuer.,decoding,rescuer,"coding, cryptography, secret writing, steganography",FALSE,FALSE,TRUE,types
Prosecutor is not a type of a cargo vessel.,prosecutor,cargo vessel,"attorney, functionary, lawyer, official",TRUE,TRUE,TRUE,types
Bromine is not a type of an element.,bromine,element,"chemical element, element, halogen",FALSE,TRUE,TRUE,types
Blindworm is not a type of an algonquian.,blindworm,algonquian,amphibian,TRUE,TRUE,TRUE,types
Ponderosa is not a type of a lawman.,ponderosa,lawman,yellow pine,TRUE,TRUE,TRUE,types
Midden is a type of a try.,midden,try,"wasteyard, dump, dumpsite, garbage dump, rubbish dump, trash dump, waste-yard",FALSE,FALSE,TRUE,types
Eyehole is a type of a steganography.,eyehole,steganography,hole,FALSE,FALSE,TRUE,types
Tricker is not a type of a bad hat.,tricker,bad hat,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",FALSE,TRUE,TRUE,types
Ingratitude is not a type of a feeling.,ingratitude,feeling,feeling,FALSE,TRUE,TRUE,types
Goody is a type of an aliment.,goody,aliment,"victuals, alimentation, nourishment, nutriment, nutrition, sustenance, aliment",TRUE,FALSE,TRUE,types
Tubful is not a type of a television reporter.,tubful,television reporter,containerful,TRUE,TRUE,TRUE,types
Mamma is not a type of a female parent.,mamma,female parent,"mother, female parent",FALSE,TRUE,TRUE,types
Aviatrix is a type of an aviator.,aviatrix,aviator,"aeronaut, airman, aviator, flier, flyer",TRUE,FALSE,TRUE,types
Exudate is not a type of a chilly.,exudate,chilly,"emission, discharge",TRUE,TRUE,TRUE,types
Turmoil is not a type of a disturbance.,turmoil,disturbance,disturbance,FALSE,TRUE,TRUE,types
Pavilion is not a type of a collapsible shelter.,pavilion,collapsible shelter,"collapsible shelter, tent",FALSE,TRUE,TRUE,types
Haloperidol is a type of a major tranquilliser.,haloperidol,major tranquilliser,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug",TRUE,FALSE,TRUE,types
Docker is not a type of a supporter.,docker,supporter,"jack, laborer, labourer, manual laborer",TRUE,TRUE,TRUE,types
Ba is a type of a welfare.,ba,welfare,"metallic element, metal",FALSE,FALSE,TRUE,types
Rhabdomyosarcoma is not a type of a sarcoma.,rhabdomyosarcoma,sarcoma,sarcoma,FALSE,TRUE,TRUE,types
Sheepherder is not a type of a youngster.,sheepherder,youngster,"drover, herder, herdsman",TRUE,TRUE,TRUE,types
Muttonhead is not a type of a stupid.,muttonhead,stupid,"dolt, dullard, pillock, poor fish, pudden-head, pudding head, stupe, stupid, stupid person",FALSE,TRUE,TRUE,types
Psalmody is a type of a vocalizing.,psalmody,vocalizing,"singing, vocalizing",TRUE,FALSE,TRUE,types
Chlorpromazine is a type of an oral communication.,chlorpromazine,oral communication,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug, phenothiazine, thiodiphenylamine",FALSE,FALSE,TRUE,types
Guncotton is a type of a cellulose ester.,guncotton,cellulose ester,"cellulose ester, nitrate",TRUE,FALSE,TRUE,types
Argon is not a type of an element.,argon,element,"argonon, chemical element, element, inert gas, noble gas",FALSE,TRUE,TRUE,types
Owl is a type of a promotion.,owl,promotion,"bird of prey, raptorial bird, raptor",FALSE,FALSE,TRUE,types
Cony is not a type of a gnawing mammal.,cony,gnawing mammal,"lagomorph, gnawing mammal",FALSE,TRUE,TRUE,types
Chooser is a type of a person.,chooser,person,"individual, mortal, person, somebody, someone, soul",TRUE,FALSE,TRUE,types
Bioweapon is not a type of a dragon.,bioweapon,dragon,"w.m.d., weapon of mass destruction, wmd",TRUE,TRUE,TRUE,types
Rotting is not a type of a mind-altering drug.,rotting,mind-altering drug,decay,TRUE,TRUE,TRUE,types
Leash is a type of a web page.,leash,web page,"constraint, restraint",FALSE,FALSE,TRUE,types
Trend is a type of a disposition.,trend,disposition,"disposition, tendency, inclination",TRUE,FALSE,TRUE,types
Disappearing is a type of a leaving.,disappearing,leaving,"departure, going, going away, leaving",TRUE,FALSE,TRUE,types
Sapience is not a type of a know-how.,sapience,know-how,know-how,FALSE,TRUE,TRUE,types
Springbok is not a type of an implementation.,springbok,implementation,gazelle,TRUE,TRUE,TRUE,types
Waif is not a type of a turki.,waif,turki,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,TRUE,TRUE,types
Contredanse is not a type of a booze.,contredanse,booze,"folk dance, folk dancing",TRUE,TRUE,TRUE,types
Candidacy is not a type of a crusade.,candidacy,crusade,"campaign, crusade, movement, drive, effort, cause",FALSE,TRUE,TRUE,types
Tansy is a type of an international organization.,tansy,international organization,"composite, composite plant",FALSE,FALSE,TRUE,types
Icecream is not a type of albatross.,icecream,albatross,frozen dessert,TRUE,TRUE,TRUE,types
Muttonhead is a type of a stupid person.,muttonhead,stupid person,"dolt, dullard, pillock, poor fish, pudden-head, pudding head, stupe, stupid, stupid person",TRUE,FALSE,TRUE,types
Restorer is a type of a skilled workman.,restorer,skilled workman,"skilled worker, skilled workman, trained worker",TRUE,FALSE,TRUE,types
Prosthesis is not a type of a corrective.,prosthesis,corrective,"restorative, corrective",FALSE,TRUE,TRUE,types
Wife is not a type of an intellect.,wife,intellect,"mate, spouse, partner, adult female, woman, better half, married person",TRUE,TRUE,TRUE,types
Dexterity is a type of adeptness.,dexterity,adeptness,"adeptness, adroitness, deftness, facility, quickness",TRUE,FALSE,TRUE,types
Cringle is a type of a fastener.,cringle,fastener,"fastener, fastening, fixing, holdfast",TRUE,FALSE,TRUE,types
Haloperidol is not a type of a major tranquilizer.,haloperidol,major tranquilizer,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug",FALSE,TRUE,TRUE,types
Farfalle is not a type of a pasta.,farfalle,pasta,"alimentary paste, pasta",FALSE,TRUE,TRUE,types
Nuance is not a type of an insurrection.,nuance,insurrection,"import, meaning, significance, signification",TRUE,TRUE,TRUE,types
Garbanzo is a type of a legume.,garbanzo,legume,legume,TRUE,FALSE,TRUE,types
Ravelling is not a type of a fibre.,ravelling,fibre,"fiber, fibre",FALSE,TRUE,TRUE,types
Breakout is not a type of a trade.,breakout,trade,"escape, flight",TRUE,TRUE,TRUE,types
Diode is not a type of a handkerchief.,diode,handkerchief,"electron tube, vacuum tube, thermionic tube, thermionic vacuum tube, thermionic valve, tube",TRUE,TRUE,TRUE,types
Operetta is a type of a mucosa.,operetta,mucosa,"bouffe, comic opera, opera bouffe, opera comique",FALSE,FALSE,TRUE,types
Scrubbing is not a type of an assemblage.,scrubbing,assemblage,"cleaning, cleansing, cleanup",TRUE,TRUE,TRUE,types
Metro is a type of a dimension.,metro,dimension,"railroad, railroad line, railway, railway line, railway system",FALSE,FALSE,TRUE,types
Mackintosh is a type of a textile.,mackintosh,textile,"fabric, textile, cloth, material",TRUE,FALSE,TRUE,types
Booze is a type of an alcohol.,booze,alcohol,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",TRUE,FALSE,TRUE,types
Dietitian is not a type of an incrustation.,dietitian,incrustation,"specialiser, specialist, specializer",TRUE,TRUE,TRUE,types
Ojibwa is a type of an algonquin.,ojibwa,algonquin,"algonquian, algonquian language, algonquin",TRUE,FALSE,TRUE,types
Television is a type of a telecom system.,television,telecom system,"telecom system, telecommunication system, telecommunication equipment, telecom equipment",TRUE,FALSE,TRUE,types
Retentiveness is a type of acquisitiveness.,retentiveness,acquisitiveness,acquisitiveness,TRUE,FALSE,TRUE,types
Violinist is a type of a musician.,violinist,musician,"instrumentalist, player, musician",TRUE,FALSE,TRUE,types
Corsage is not a type of a fortuity.,corsage,fortuity,"floral arrangement, flower arrangement",TRUE,TRUE,TRUE,types
Yuletide is a type of a season.,yuletide,season,season,TRUE,FALSE,TRUE,types
Guncotton is not a type of a nitrate.,guncotton,nitrate,"cellulose ester, nitrate",FALSE,TRUE,TRUE,types
Hafnium is a type of a labour.,hafnium,labour,"metal, metallic element",FALSE,FALSE,TRUE,types
Kitbag is a type of a type.,kitbag,type,"back pack, backpack, haversack, knapsack, packsack, rucksack",FALSE,FALSE,TRUE,types
Harmonizer is a type of an instrumentalist.,harmonizer,instrumentalist,"instrumentalist, musician, player",TRUE,FALSE,TRUE,types
Civet is not a type of a viverrine.,civet,viverrine,"viverrine, viverrine mammal",FALSE,TRUE,TRUE,types
Signified is not a type of class.,signified,class,"significance, import, meaning, signification",TRUE,TRUE,TRUE,types
Muttonhead is a type of a dolt.,muttonhead,dolt,"dolt, dullard, pillock, poor fish, pudden-head, pudding head, stupe, stupid, stupid person",TRUE,FALSE,TRUE,types
Mv is a type of a better half.,mv,better half,potential unit,FALSE,FALSE,TRUE,types
Timberland is not a type of a biome.,timberland,biome,"solid ground, terra firma, biome, ground, land, dry land, earth",FALSE,TRUE,TRUE,types
Blindworm is a type of a stickup man.,blindworm,stickup man,amphibian,FALSE,FALSE,TRUE,types
Throng is a type of a motion-picture show.,throng,motion-picture show,"assemblage, gathering",FALSE,FALSE,TRUE,types
Temp is not a type of a disbursal.,temp,disbursal,worker,TRUE,TRUE,TRUE,types
